country,FIN,FIN
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1966-Q1,,37.29906
1966-Q2,,14.01532
1966-Q3,,12.67965
1966-Q4,,6.020844
1967-Q1,,-22.56059
1967-Q2,,-15.71491
1967-Q3,,-14.2097
1967-Q4,,-19.60017
1968-Q1,,-2.261084
1968-Q2,,-0.7768937
1968-Q3,,3.101134
1968-Q4,,18.44317
1969-Q1,,36.26287
1969-Q2,,17.67273
1969-Q3,,56.82755
1969-Q4,,39.7657
1970-Q1,,23.19089
1970-Q2,,26.11267
1970-Q3,,2.27448
1970-Q4,,9.67048
1971-Q1,,-10.69038
1971-Q2,,-22.28443
1971-Q3,,-8.866226
1971-Q4,,-21.56075
1972-Q1,,3.860685
1972-Q2,,19.65932
1972-Q3,,-2.005243
1972-Q4,,21.94386
1973-Q1,,39.26426
1973-Q2,,34.75334
1973-Q3,,35.37611
1973-Q4,,41.29276
1974-Q1,,11.60491
1974-Q2,,-3.648813
1974-Q3,,-8.907452
1974-Q4,,-14.7244
1975-Q1,,-16.24715
1975-Q2,,-42.14204
1975-Q3,,-7.217304
1975-Q4,,11.69229
1976-Q1,,-4.304323
1976-Q2,,4.484226
1976-Q3,,-0.1477079
1976-Q4,,-32.47269
1977-Q1,,-16.07491
1977-Q2,,-19.52502
1977-Q3,,-19.92785
1977-Q4,,-14.3587
1978-Q1,,-12.08177
1978-Q2,,17.61651
1978-Q3,,22.51118
1978-Q4,,17.27661
1979-Q1,,35.80979
1979-Q2,,30.94718
1979-Q3,,26.29227
1979-Q4,,29.42863
1980-Q1,,19.39704
1980-Q2,,8.107667
1980-Q3,,-2.959582
1980-Q4,,-5.67574
1981-Q1,,-14.11905
1981-Q2,,-13.9055
1981-Q3,,-11.67488
1981-Q4,,-30.92723
1982-Q1,,-30.00995
1982-Q2,,-31.74843
1982-Q3,,-36.01596
1982-Q4,,-36.7048
1983-Q1,,10.17436
1983-Q2,,-10.39645
1983-Q3,,-2.909616
1983-Q4,,18.68297
1984-Q1,,17.19071
1984-Q2,,22.20325
1984-Q3,,11.67836
1984-Q4,,0.3365297
1985-Q1,,-11.8
1985-Q2,,-9.3
1985-Q3,,-10.5
1985-Q4,,-10.5
1986-Q1,,4.5
1986-Q2,,6.8
1986-Q3,,5.7
1986-Q4,,13.7
1987-Q1,,12.9
1987-Q2,,16.2
1987-Q3,,21.6
1987-Q4,,20.1
1988-Q1,,15.4
1988-Q2,,11.9
1988-Q3,,7.6
1988-Q4,,11.8
1989-Q1,,6.5
1989-Q2,,9.2
1989-Q3,,1.0
1989-Q4,,-7.3
1990-Q1,,-10.3
1990-Q2,,-16.7
1990-Q3,,-21.4
1990-Q4,,-21.4
1991-Q1,87.6,-26.7
1991-Q2,83.7,-21.5
1991-Q3,78.6,-15.6
1991-Q4,77.3,-0.8
1992-Q1,80.5,13.5
1992-Q2,80.0,8.2
1992-Q3,78.7,2.2
1992-Q4,76.1,3.0
1993-Q1,80.9,-0.2
1993-Q2,82.3,11.8
1993-Q3,82.5,12.4
1993-Q4,83.3,24.3
1994-Q1,83.4,25.4
1994-Q2,85.3,34.8
1994-Q3,86.6,36.6
