country,AUT,AUT,AUT
subject,BSCI,BSCURT,BSOITE
measure,BLSA,BLSA,BLSA
unit,,,
powercode,Units,Units,Units
reference_period,,,
time,,,
1985-Q1,-5.866667,,
1985-Q2,-6.0,,
1985-Q3,-7.2,,
1985-Q4,-5.0,,
1986-Q1,-6.266667,,
1986-Q2,-7.133333,,
1986-Q3,-7.6,,
1986-Q4,-10.26667,,
1987-Q1,-11.1,,
1987-Q2,-12.26667,,
1987-Q3,-8.5,,
1987-Q4,-4.7,,
1988-Q1,-3.6,,
1988-Q2,1.166667,,
1988-Q3,4.6,,
1988-Q4,9.2,,
1989-Q1,8.366667,,
1989-Q2,12.3,,
1989-Q3,13.06667,,
1989-Q4,14.9,,
1990-Q1,12.86667,,
1990-Q2,12.36667,,
1990-Q3,10.76667,,
1990-Q4,6.6,,
1991-Q1,3.366667,,
1991-Q2,-0.06666667,,
1991-Q3,-4.266667,,
1991-Q4,-6.966667,,
1992-Q1,-8.3,,
1992-Q2,-7.966667,,
1992-Q3,-9.033334,,
1992-Q4,-17.46667,,
1993-Q1,-22.7,,
1993-Q2,-22.36667,,
1993-Q3,-19.73333,,
1993-Q4,-14.33333,,
1994-Q1,-7.0,,
1994-Q2,0.7666667,,
1994-Q3,4.266667,,
1994-Q4,6.866667,,
1995-Q1,4.533333,,
1995-Q2,-3.5,,
1995-Q3,-11.56667,,
1995-Q4,-14.93333,,
1996-Q1,-18.6,85.2,-21.7
1996-Q2,-22.0,83.3,-28.9
1996-Q3,-15.23333,83.2,-13.0
1996-Q4,-12.06667,84.5,-2.9
1997-Q1,-8.666667,84.2,2.2
1997-Q2,-4.633333,84.8,6.8
1997-Q3,-0.6,86.0,13.2
1997-Q4,1.133333,86.8,17.4
1998-Q1,2.0,87.1,15.1
1998-Q2,3.266667,87.4,18.4
1998-Q3,-3.0,87.8,7.3
1998-Q4,-11.33333,86.9,-2.3
1999-Q1,-12.23333,85.6,-4.9
1999-Q2,-15.63333,84.7,-8.9
1999-Q3,-2.6,84.0,3.5
1999-Q4,-0.3,86.4,14.0
2000-Q1,6.5,87.4,16.9
2000-Q2,9.833333,87.9,28.7
2000-Q3,9.8,88.8,22.6
2000-Q4,9.4,89.1,17.3
2001-Q1,4.7,88.3,13.7
2001-Q2,-6.366667,86.7,1.4
2001-Q3,-11.26667,86.1,-11.2
2001-Q4,-15.16667,84.4,-19.4
2002-Q1,-14.26667,84.7,-17.5
2002-Q2,-12.0,84.7,-4.9
2002-Q3,-12.36667,84.9,2.1
2002-Q4,-10.86667,83.9,0.9
2003-Q1,-8.133333,85.5,2.0
2003-Q2,-11.16667,86.0,0.1
2003-Q3,-6.666667,85.3,-1.2
2003-Q4,-3.166667,86.0,9.9
2004-Q1,-2.933333,85.6,15.3
2004-Q2,1.833333,85.7,15.5
2004-Q3,1.033333,86.9,14.6
2004-Q4,0.9333333,86.9,17.1
2005-Q1,-3.666667,87.3,11.3
2005-Q2,-5.733333,85.8,1.2
2005-Q3,-5.666667,85.0,7.1
2005-Q4,-3.166667,85.5,16.0
2006-Q1,2.733333,86.4,20.4
2006-Q2,6.233333,87.2,27.5
2006-Q3,10.43333,88.4,32.3
2006-Q4,11.8,88.6,28.3
2007-Q1,11.9,88.4,34.0
2007-Q2,10.33333,88.3,24.6
2007-Q3,8.1,88.1,21.8
2007-Q4,6.733333,88.4,18.5
2008-Q1,1.766667,87.5,16.9
2008-Q2,-1.066667,87.6,8.8
2008-Q3,-7.333333,86.1,0.8
2008-Q4,-22.93333,85.2,-11.1
2009-Q1,-33.96667,79.7,-34.6
2009-Q2,-31.86667,75.5,-39.0
2009-Q3,-22.3,76.4,-20.2
2009-Q4,-17.26667,79.1,7.3
2010-Q1,-14.0,79.1,6.1
2010-Q2,-5.866667,81.9,22.0
2010-Q3,-3.6,83.2,30.4
2010-Q4,-0.7,84.3,28.1
2011-Q1,0.3333333,84.0,31.7
2011-Q2,-0.8666667,85.4,33.7
2011-Q3,-5.166667,85.3,17.1
2011-Q4,-8.6,85.5,5.9
2012-Q1,-5.0,84.2,7.3
2012-Q2,-5.4,84.0,11.6
2012-Q3,-8.8,84.9,-0.2
2012-Q4,-12.8,84.4,-7.8
2013-Q1,-8.433333,84.5,-7.2
2013-Q2,-10.86667,83.2,-2.2
2013-Q3,-7.166667,83.8,1.2
2013-Q4,-4.366667,83.5,9.6
2014-Q1,-3.3,83.9,9.4
2014-Q2,-3.6,85.0,10.5
2014-Q3,-7.8,84.3,1.9
2014-Q4,-8.966666,83.7,-3.7
2015-Q1,-8.733334,84.0,0.0
2015-Q2,-7.6,84.1,9.5
2015-Q3,-5.333333,84.5,10.3
2015-Q4,-5.533333,83.2,10.0
2016-Q1,-7.366667,85.3,12.5
2016-Q2,-7.366667,84.0,-0.1
2016-Q3,-4.8,83.2,7.5
2016-Q4,-1.433333,84.9,14.5
2017-Q1,2.0,85.5,23.3
2017-Q2,2.866667,86.7,31.6
2017-Q3,6.133333,86.8,28.4
2017-Q4,11.36667,87.7,32.3
2018-Q1,11.13333,89.2,32.3
2018-Q2,8.733334,88.6,21.8
2018-Q3,6.4,88.1,16.6
2018-Q4,5.1,88.2,16.5
2019-Q1,-2.633333,87.3,13.2
