country,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN
subject,BCBUTE,BCCI,BCEMFT,BCOBLV,BCSPFT,BRBUFT,BRBUTE,BRCI,BREMFT,BRODFT,BRVSLV,BSCI,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSPRTE,BSSPFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVDETE,BVEMFT,BVEMTE,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01,-9.0,-8.3,12.2,-28.7,-44.3,,,,,,,,-14.8,,-6.7,1.8,5.2,-22.4,,,,,,,,,,
1985-02,-8.2,-10.6,9.1,-30.2,-43.9,,,,,,,,-15.5,,-9.0,1.9,5.2,-21.9,,,,,,,,,,
1985-03,-8.9,-10.9,6.4,-28.2,-43.2,,,,,,,,-15.5,,-9.6,2.2,5.3,-21.2,,,,,,,,,,
1985-04,0.8,-13.5,1.7,-28.6,-46.0,,,,,,,,-20.9,,-19.7,-2.3,5.0,-27.9,,,,,,,,,,
1985-05,-3.0,-15.7,0.1,-31.4,-45.6,,,,,,,,-20.9,,-20.1,-2.0,5.1,-27.0,,,,,,,,,,
1985-06,-4.0,-17.8,-0.7,-34.9,-45.8,,,,,,,,-20.8,,-20.1,-1.8,5.2,-26.1,,,,,,,,,,
1985-07,-3.2,-29.3,-21.1,-37.6,-38.9,,,,,,,,-23.2,,-30.6,0.8,-1.2,-34.0,,,,,,,,,,
1985-08,-5.7,-28.2,-21.5,-35.0,-38.0,,,,,,,,-23.1,,-30.9,1.0,-1.0,-32.9,,,,,,,,,,
1985-09,-6.9,-28.2,-22.2,-34.2,-35.5,,,,,,,,-22.9,,-29.6,1.3,-1.4,-31.9,,,,,,,,,,
1985-10,-1.9,-16.7,2.5,-35.9,-49.0,,,,,,,,-24.0,,-28.4,0.7,-7.7,-23.8,,,,,,,,,,
1985-11,-1.3,-17.0,1.6,-35.7,-46.8,,,,,,,,-23.8,,-28.5,1.0,-8.9,-22.8,,,,,,,,,,
1985-12,-0.8,-17.0,0.9,-34.9,-45.6,,,,,,,,-23.6,,-26.5,1.2,-7.3,-21.8,,,,,,,,,,
1986-01,5.0,-16.5,-0.2,-32.7,-28.7,,,,,,,,-25.8,,-17.6,1.2,2.8,-37.3,,,,,,,,,,
1986-02,5.8,-18.9,-3.6,-34.2,-29.0,,,,,,,,-26.5,,-20.0,1.4,4.2,-36.9,,,,,,,,,,
1986-03,5.1,-19.4,-6.5,-32.2,-28.5,,,,,,,,-26.4,,-20.6,1.6,3.2,-36.2,,,,,,,,,,
1986-04,-23.1,5.3,24.1,-13.6,-17.4,,,,,,,,-23.1,,-13.8,9.7,7.0,-25.9,,,,,,,,,,
1986-05,-27.1,3.0,22.4,-16.4,-15.8,,,,,,,,-23.0,,-14.1,9.9,6.1,-25.1,,,,,,,,,,
1986-06,-28.2,0.8,21.5,-19.9,-14.2,,,,,,,,-22.8,,-14.1,10.3,7.0,-24.1,,,,,,,,,,
1986-07,42.6,-11.7,14.3,-37.6,-11.2,,,,,,,,-17.5,,-14.7,7.8,16.2,-21.0,,,,,,,,,,
