country,CAN,CAN,CAN,CAN
subject,BSBUCT,BSCI,BSEMFT,BSSPFT
measure,BLSA,BLSA,BLSA,BLSA
unit,,,,
powercode,Units,Units,Units,Units
reference_period,,,,
time,,,,
1998-Q3,-11.0,-11.0,-10.0,-28.0
1998-Q4,-4.0,-4.0,15.0,-14.0
1999-Q1,3.0,3.0,18.0,-9.0
1999-Q2,7.0,7.0,35.0,10.0
1999-Q3,17.0,17.0,23.0,7.0
1999-Q4,23.0,23.0,38.0,2.0
2000-Q1,33.0,33.0,33.0,15.0
2000-Q2,48.0,48.0,36.0,5.0
2000-Q3,43.0,43.0,35.0,6.0
2000-Q4,28.0,28.0,27.0,6.0
2001-Q1,23.0,23.0,31.0,-5.0
2001-Q2,-3.0,-3.0,17.0,-17.0
2001-Q3,-10.0,-10.0,11.0,-5.0
2001-Q4,-14.0,-14.0,1.0,-27.0
2002-Q1,-14.0,-14.0,26.0,-11.0
2002-Q2,14.0,14.0,38.0,14.0
2002-Q3,10.0,10.0,31.0,12.0
2002-Q4,8.0,8.0,22.0,-2.0
2003-Q1,8.0,8.0,34.0,-1.0
2003-Q2,-1.0,-1.0,18.0,-7.0
2003-Q3,10.0,10.0,33.0,3.0
2003-Q4,0.0,0.0,27.0,-19.0
2004-Q1,-2.0,-9.8,31.0,-4.0
2004-Q2,-3.0,5.5,32.0,-4.0
2004-Q3,-6.0,7.5,33.0,10.0
2004-Q4,2.0,3.4,38.0,-15.0
2005-Q1,7.0,8.3,39.0,8.0
2005-Q2,-4.0,5.6,32.0,-2.0
2005-Q3,2.0,22.1,50.0,11.0
2005-Q4,10.0,23.9,50.0,3.0
2006-Q1,3.0,19.5,43.0,5.0
2006-Q2,0.0,12.2,35.0,7.0
2006-Q3,2.0,10.9,41.0,-8.0
2006-Q4,-4.0,8.1,40.0,-2.0
2007-Q1,-4.0,15.2,45.0,-3.0
2007-Q2,1.0,6.8,34.0,-9.0
2007-Q3,1.0,2.9,37.0,-4.0
2007-Q4,1.0,0.5,30.0,2.0
2008-Q1,-1.0,-5.7,33.0,11.0
2008-Q2,0.0,6.4,33.0,20.0
2008-Q3,-5.0,-10.8,28.0,-5.0
2008-Q4,-15.0,-70.5,-8.0,-23.0
2009-Q1,-12.0,-69.2,-1.0,-35.0
2009-Q2,-40.0,-51.9,22.0,-10.0
2009-Q3,-33.0,-37.4,27.0,3.0
2009-Q4,-35.0,-23.0,41.0,10.0
2010-Q1,-34.0,-11.6,38.0,28.0
2010-Q2,-18.0,1.3,40.0,28.0
2010-Q3,-8.0,5.7,25.0,29.0
2010-Q4,1.0,6.5,41.0,23.0
2011-Q1,-8.0,8.5,37.0,14.0
2011-Q2,3.0,21.5,53.0,13.0
2011-Q3,5.0,1.5,38.0,-9.0
2011-Q4,1.0,4.8,45.0,-7.0
2012-Q1,-5.0,11.2,43.0,-1.0
2012-Q2,5.0,10.3,53.0,3.0
2012-Q3,-3.0,-2.9,26.0,12.0
2012-Q4,-3.0,-8.5,28.0,-3.0
2013-Q1,-12.0,-16.9,32.0,-7.0
2013-Q2,-2.0,-7.8,35.0,8.0
2013-Q3,-16.0,-2.9,30.0,12.0
2013-Q4,-11.0,-1.6,42.0,9.0
2014-Q1,-8.0,8.6,46.0,14.0
2014-Q2,-5.0,-4.6,28.0,6.0
2014-Q3,-6.0,5.1,44.0,8.0
2014-Q4,-7.0,-11.1,31.0,-5.0
2015-Q1,-1.0,-14.9,20.0,5.0
2015-Q2,-5.0,-15.6,26.0,-13.0
2015-Q3,-6.0,-18.8,28.0,10.0
2015-Q4,-7.0,-33.1,12.0,-17.0
2016-Q1,-3.0,-20.7,26.0,0.0
2016-Q2,-12.0,-23.5,21.0,-3.0
2016-Q3,-9.0,-12.9,31.0,-10.0
2016-Q4,-8.0,1.6,37.0,24.0
2017-Q1,-12.0,1.1,38.0,-3.0
2017-Q2,1.0,20.8,58.0,14.0
2017-Q3,3.0,6.2,34.0,0.0
2017-Q4,-5.0,16.6,40.0,2.0
2018-Q1,-4.0,12.4,45.0,6.0
2018-Q2,4.0,24.3,51.0,12.0
2018-Q3,1.0,22.2,39.0,12.0
2018-Q4,1.0,16.3,41.0,10.0
2019-Q1,-7.0,-11.6,35.0,-6.0
2019-Q2,-7.0,-2.8,36.0,7.0
2019-Q3,-12.0,3.2,31.0,5.0
2019-Q4,-9.0,5.0,43.0,-4.0
2020-Q1,-13.0,-7.8,28.0,-6.0
2020-Q2,-28.0,-63.2,23.0,-20.0
2020-Q3,-35.0,-25.7,26.0,0.0
2020-Q4,-34.0,5.0,43.0,15.0
2021-Q1,-25.0,16.8,45.0,45.0
2021-Q2,-27.0,30.7,65.0,26.0
2021-Q3,-7.0,44.1,67.0,8.0
2021-Q4,13.0,59.2,77.0,16.0
2022-Q1,4.0,49.4,63.0,26.0
2022-Q2,9.0,48.3,66.0,22.0
2022-Q3,1.0,17.9,47.0,-24.0
2022-Q4,-4.0,0.8,35.0,-10.0
2023-Q1,3.0,-10.7,45.0,-26.0
2023-Q2,-4.0,-21.5,34.0,-33.0
