country,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL,COL
subject,BRBUFT,BRBUTE,BRCI,BRODFT,BRVSLV,BSBUCT,BSBUFT,BSCI,BSFGLV,BSOBLV,BSOITE,BSPRFT,BSPRTE,BSSPFT,CSCICP02,CSESFT,CSINFT
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,
1980-01,,,,,,10.95265,8.567641,9.048882,-7.501173,40.36069,16.29205,10.73718,7.005693,33.62212,,,
1980-02,,,,,,12.27097,9.20399,9.334249,-11.031,39.09811,16.20253,8.198274,2.288738,40.2495,,,
1980-03,,,,,,11.7207,6.616221,6.931152,-12.461,39.90402,20.67285,12.80269,5.430324,38.36534,,,
1980-04,,,,,,11.57994,5.705442,4.763021,-18.98438,37.21077,6.909394,4.385625,3.518097,33.25981,,,
1980-05,,,,,,12.66338,8.669764,4.48738,-19.42752,33.66532,3.066988,5.313403,0.04551083,29.23519,,,
1980-06,34.46136,4.020205,17.70995,,-14.93353,6.894468,-0.5732515,4.509839,-24.16469,31.35635,0.2983644,-6.443499,-6.72413,26.25584,,,
1980-07,38.49456,4.064385,19.38984,,-20.03524,0.5061178,7.384031,-1.242383,-32.73217,19.7095,7.661817,1.046851,-10.4525,20.74276,,,
1980-08,47.04124,7.671621,22.36955,,-13.18746,0.6083394,-20.06275,2.715795,-30.28321,32.58773,3.549884,-8.548866,-5.031268,22.7749,,,
1980-09,44.19977,12.93658,20.61272,,-2.404016,-3.687696,0.4743888,-2.157892,-31.02812,26.66554,15.23328,-5.627556,-1.13088,31.58458,,,
1980-10,49.27842,17.24873,23.79078,,-6.456479,8.7557,6.859807,3.512236,-24.95075,34.82783,6.863705,23.02527,0.1152993,36.19123,,,
