country,ITA
subject,BSCURT
measure,BLSA
unit,
powercode,Units
reference_period,
time,
1969,80.875
1970,80.5
1971,76.975
1972,76.475
1973,77.45
1974,76.7
1975,69.325
1976,74.0
1977,72.825
1978,73.85
1979,76.275
1980,74.525
1981,72.6
1982,71.45
1983,70.625
1984,73.15
1985,73.25
1986,74.375
1987,76.1
1988,77.225
1989,79.45
1990,79.15
1991,75.175
1992,73.825
1993,72.3
1994,74.575
1995,78.225
1996,75.075
1997,76.15
1998,76.3
1999,75.675
2000,78.15
2001,76.825
2002,75.65
2003,75.725
2004,76.05
2005,75.65
2006,77.05
2007,77.725
2008,76.175
2009,66.3
2010,70.05
2011,73.525
2012,71.625
2013,71.975
2014,73.7
2015,75.4
2016,76.15
2017,76.95
2018,77.975
2019,77.425
2021,76.45
2022,78.35
