country,DEU,DEU
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1960-Q1,88.2,
1960-Q2,88.6,
1960-Q3,88.8,
1960-Q4,88.4,
1961-Q1,88.2,3.327513
1961-Q2,87.6,-7.003777
1961-Q3,87.8,-5.384356
1961-Q4,86.3,-5.843263
1962-Q1,87.2,-6.296774
1962-Q2,87.6,-0.50429
1962-Q3,86.9,-5.226817
1962-Q4,87.2,-4.94219
1963-Q1,86.2,-13.94738
1963-Q2,85.7,-5.223436
1963-Q3,85.9,1.674451
1963-Q4,86.1,3.024124
1964-Q1,87.3,12.16377
1964-Q2,87.8,13.62773
1964-Q3,87.8,5.485538
1964-Q4,87.9,8.445026
1965-Q1,88.4,7.709967
1965-Q2,88.0,2.173587
1965-Q3,87.7,0.3779411
1965-Q4,87.7,-2.738205
1966-Q1,86.6,-5.523685
1966-Q2,87.1,-10.93892
1966-Q3,85.6,-20.65347
1966-Q4,82.7,-30.135
1967-Q1,78.6,-29.78541
1967-Q2,77.1,-18.08399
1967-Q3,78.6,-3.230312
1967-Q4,80.8,11.65868
1968-Q1,82.6,1.078907
1968-Q2,83.9,10.03876
1968-Q3,85.6,20.35583
1968-Q4,86.9,17.38159
1969-Q1,88.6,18.71728
1969-Q2,89.6,19.09504
1969-Q3,89.9,12.67461
1969-Q4,90.2,6.498315
1970-Q1,92.4,-1.351036
1970-Q2,91.6,-4.939085
1970-Q3,90.7,-10.05583
1970-Q4,89.4,-10.90209
1971-Q1,88.3,-11.63599
1971-Q2,87.4,-19.97229
1971-Q3,86.2,-16.26286
1971-Q4,85.1,-18.35131
1972-Q1,84.6,-10.87317
1972-Q2,84.7,-6.113099
1972-Q3,85.1,0.8913531
1972-Q4,85.9,10.66385
1973-Q1,87.4,7.157903
1973-Q2,87.4,7.567591
1973-Q3,87.1,-6.501436
1973-Q4,86.6,-15.04929
1974-Q1,84.9,-15.83491
1974-Q2,83.3,-18.48059
1974-Q3,82.1,-20.02315
1974-Q4,79.7,-36.09951
1975-Q1,76.6,-32.03474
1975-Q2,75.2,-17.67876
1975-Q3,75.3,-9.513103
1975-Q4,77.0,3.110264
1976-Q1,78.4,4.205107
1976-Q2,80.2,-3.065988
1976-Q3,80.9,-6.556283
1976-Q4,81.5,-7.853014
1977-Q1,81.3,-12.37044
1977-Q2,80.4,-16.67123
1977-Q3,79.6,-13.87444
1977-Q4,79.9,-6.659499
1978-Q1,80.4,-18.76863
1978-Q2,80.7,-7.452008
1978-Q3,82.6,-0.2828366
1978-Q4,81.4,-2.324292
1979-Q1,83.2,1.876137
1979-Q2,84.9,5.050267
1979-Q3,85.6,-0.7401261
1979-Q4,85.4,-3.621472
1980-Q1,85.3,-7.443443
1980-Q2,83.2,-17.13399
1980-Q3,81.5,-22.42658
1980-Q4,79.6,-21.78178
1981-Q1,79.6,-21.26667
1981-Q2,79.1,-19.26667
1981-Q3,78.8,-13.0
1981-Q4,78.6,-13.43333
1982-Q1,78.3,-15.43333
1982-Q2,77.2,-23.93333
1982-Q3,74.8,-30.16667
1982-Q4,74.7,-14.63333
1983-Q1,76.5,4.733333
1983-Q2,78.0,0.8666667
1983-Q3,79.0,1.066667
