country,DNK,DNK,DNK
subject,BSCURT,BSEMFT,BSOITE
measure,BLSA,BLSA,BLSA
unit,,,
powercode,Units,Units,Units
reference_period,,,
time,,,
1966-Q1,,5.086756,
1966-Q2,,5.48437,
1966-Q3,,2.723902,
1966-Q4,,-4.403797,
1967-Q1,,-3.749994,
1967-Q2,,-3.426656,
1967-Q3,,-17.60463,
1967-Q4,,-5.342504,
1968-Q1,,-2.409365,
1968-Q2,,5.476682,
1968-Q3,,9.13286,
1968-Q4,,15.45555,
1969-Q1,,16.33307,
1969-Q2,,11.26504,
1969-Q3,,13.71504,
1969-Q4,,14.31626,
1970-Q1,,13.10718,
1970-Q2,,12.04836,
1970-Q3,,9.27231,
1970-Q4,,-0.6435955,
1971-Q1,,-1.377155,
1971-Q2,,0.8175181,
1971-Q3,,-9.071285,
1971-Q4,,-0.2281426,
1972-Q1,,-1.41777,
1972-Q2,,7.529763,
1972-Q3,,21.04816,
1972-Q4,,26.15038,
1973-Q1,,21.21982,
1973-Q2,,20.31987,
1973-Q3,,16.27702,
1973-Q4,,4.600876,
1974-Q1,,0.6988062,
1974-Q2,,-15.8706,
1974-Q3,,-26.4986,
1974-Q4,,-22.83334,
1975-Q1,,-7.95565,
1975-Q2,,-14.92968,
1975-Q3,,-2.363822,
1975-Q4,,4.602533,
1976-Q1,,5.622328,
1976-Q2,,6.960593,
1976-Q3,,3.793047,
1976-Q4,,-5.091733,
1977-Q1,,-9.854163,
1977-Q2,,-10.92939,
1977-Q3,,-13.07466,
1977-Q4,,-10.90282,
1978-Q1,,-5.253798,
1978-Q2,,-0.01475737,
1978-Q3,,6.271811,
1978-Q4,,8.524853,
1979-Q1,,-1.187181,
1979-Q2,,-2.969273,
1979-Q3,,3.894928,
1979-Q4,,-6.251102,
1980-Q1,,-9.012117,23.0
1980-Q2,,-20.09272,1.0
1980-Q3,,-23.26105,-13.0
1980-Q4,,-19.25715,-36.0
1981-Q1,,-12.72207,-12.0
1981-Q2,,-4.143733,-12.0
1981-Q3,,-8.419025,5.0
1981-Q4,,-9.673426,8.0
1982-Q1,,-4.879611,4.0
1982-Q2,,-8.295805,-8.0
1982-Q3,,-6.685202,9.0
1982-Q4,,-9.398139,-2.0
1983-Q1,,-6.672946,16.0
1983-Q2,,-1.201087,-11.0
1983-Q3,,3.624862,20.0
1983-Q4,,10.69415,22.0
1984-Q1,,5.01877,27.0
1984-Q2,,12.90598,22.0
1984-Q3,,6.483468,27.0
1984-Q4,,8.073628,30.0
1985-Q1,,9.033334,29.3
1985-Q2,,7.8,15.1
1985-Q3,,1.933333,22.2
1985-Q4,,1.366667,13.2
1986-Q1,,1.133333,23.3
1986-Q2,,-4.133333,10.2
1986-Q3,,-3.066667,15.1
1986-Q4,,-2.7,-0.8
1987-Q1,81.1,-2.766667,6.2
1987-Q2,80.4,-6.166667,-3.7
1987-Q3,81.3,-9.133333,7.0
1987-Q4,80.9,-9.766666,0.3
1988-Q1,80.1,-13.56667,12.2
1988-Q2,79.4,-8.2,5.3
1988-Q3,80.3,-8.2,14.0
1988-Q4,79.9,0.2,2.3
1989-Q1,80.1,-1.466667,24.2
1989-Q2,81.4,-3.2,15.3
1989-Q3,81.3,-1.3,12.9
1989-Q4,81.9,3.3,12.2
1990-Q1,83.9,-0.3666667,16.3
1990-Q2,82.2,-5.266667,-0.7
1990-Q3,81.3,-10.5,6.9
1990-Q4,81.0,-8.533334,4.2
1991-Q1,81.3,-8.233334,2.4
1991-Q2,81.7,-4.366667,1.3
1991-Q3,80.4,-1.766667,9.9
1991-Q4,80.3,-6.333333,6.1
