country,AUT,AUT,AUT
subject,BSCURT,BSPRFT,BVCI
measure,BLSA,BLSA,BLSA
unit,,,
powercode,Units,Units,Units
reference_period,,,
time,,,
1964,,24.0875,
1965,,20.7525,
1966,,14.90917,
1967,,4.416667,
1968,,24.1075,
1969,,29.35167,
1970,,23.42,
1971,,14.60333,
1972,,18.6,
1973,,12.09583,
1974,,2.169167,
1975,,-8.2275,
1976,,10.51167,
1977,,3.020833,
1978,,3.953333,
1979,,14.18167,
1980,,9.455833,
1981,,-0.1566667,
1982,,-7.274167,
1983,,-0.1983333,
1984,,8.211667,
1985,,7.733333,
1986,,5.25,
1987,,3.816667,
1988,,13.04167,
1989,,21.40833,
1990,,20.18333,
1991,,11.39167,
1992,,2.441667,
1993,,-9.225,
1994,,11.26667,
1995,,4.433333,
1996,84.05,3.691667,
1997,85.425,12.25,19.40833
1998,87.3,11.275,27.35833
1999,85.175,9.383333,21.6
2000,88.3,24.59167,26.43333
2001,86.35,6.016667,13.51667
2002,84.575,9.566667,11.0
2003,85.675,11.45833,12.7
2004,86.275,16.04167,21.03333
2005,85.9,13.59167,12.925
2006,87.6,22.56667,24.15833
2007,88.325,22.88333,23.04167
2008,86.625,4.183333,7.35
2009,77.7,-9.916667,-10.875
2010,82.15,12.5,12.39167
2011,85.075,9.725,12.325
2012,84.35,5.375,5.558333
2013,83.75,8.958333,7.525
2014,84.25,10.55,8.525
2015,83.975,6.008333,9.708333
2016,84.325,9.333333,13.93333
2017,86.625,19.99167,26.66667
2018,88.525,20.88333,26.04167
2019,86.575,5.4,17.01667
2020,79.475,-5.475,-11.375
2021,87.1,20.39167,16.36667
2022,87.65,6.641667,10.21667
