country,ITA,ITA
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1968-Q4,81.3,
1969-Q1,81.1,
1969-Q2,84.2,
1969-Q3,82.7,
1969-Q4,75.5,
1970-Q1,81.2,
1970-Q2,81.5,
1970-Q3,80.4,
1970-Q4,78.9,
1971-Q1,78.0,
1971-Q2,76.9,
1971-Q3,76.4,
1971-Q4,76.6,
1972-Q1,75.0,
1972-Q2,77.2,
1972-Q3,77.3,
1972-Q4,76.4,
1973-Q1,73.7,
1973-Q2,78.8,
1973-Q3,78.5,
1973-Q4,78.8,
1974-Q1,78.2,
1974-Q2,78.3,
1974-Q3,77.2,
1974-Q4,73.1,
1975-Q1,70.4,
1975-Q2,70.6,
1975-Q3,68.3,
1975-Q4,68.0,
1976-Q1,71.7,
1976-Q2,73.9,
1976-Q3,74.8,
1976-Q4,75.6,
1977-Q1,75.1,
1977-Q2,73.1,
1977-Q3,71.6,
1977-Q4,71.5,
1978-Q1,72.9,
1978-Q2,73.6,
1978-Q3,73.5,
1978-Q4,75.4,
1979-Q1,76.4,
1979-Q2,75.2,
1979-Q3,75.9,
1979-Q4,77.6,9.0
1980-Q1,77.7,6.0
1980-Q2,76.6,0.0
1980-Q3,70.8,-22.0
1980-Q4,73.0,-15.0
1981-Q1,72.3,-13.0
1981-Q2,73.3,-18.0
1981-Q3,72.7,-8.0
1981-Q4,72.1,-16.0
1982-Q1,72.3,-20.0
1982-Q2,72.6,-13.0
1982-Q3,70.6,-11.0
1982-Q4,70.3,-16.0
1983-Q1,70.6,-15.0
1983-Q2,70.6,-9.0
1983-Q3,70.8,-10.0
1983-Q4,70.5,-3.0
1984-Q1,71.7,2.0
1984-Q2,73.3,1.0
1984-Q3,73.3,4.0
1984-Q4,74.3,3.0
1985-Q1,72.8,5.5
1985-Q2,73.6,-1.5
1985-Q3,73.4,5.1
1985-Q4,73.0,14.1
1986-Q1,73.3,7.6
1986-Q2,75.7,5.4
1986-Q3,74.8,5.2
1986-Q4,74.0,6.4
1987-Q1,75.2,11.3
1987-Q2,76.7,9.7
1987-Q3,76.4,8.1
1987-Q4,77.8,9.0
1988-Q1,77.3,7.8
1988-Q2,76.3,10.6
1988-Q3,78.6,19.1
1988-Q4,78.6,22.9
1989-Q1,81.0,17.3
1989-Q2,78.8,16.1
1989-Q3,79.7,21.6
1989-Q4,79.2,16.7
1990-Q1,79.6,6.3
1990-Q2,78.5,9.7
1990-Q3,77.6,5.4
1990-Q4,77.6,17.4
1991-Q1,76.8,10.7
1991-Q2,75.3,-16.7
1991-Q3,75.6,3.9
1991-Q4,75.3,-5.5
1992-Q1,74.9,-2.9
1992-Q2,75.1,-1.9
1992-Q3,75.8,-4.1
1992-Q4,73.0,-19.1
1993-Q1,73.5,-15.1
1993-Q2,74.1,-12.4
1993-Q3,72.8,-11.4
1993-Q4,72.4,-5.8
1994-Q1,72.5,5.7
1994-Q2,73.6,14.5
1994-Q3,74.2,15.6
1994-Q4,75.3,18.3
1995-Q1,76.9,26.1
1995-Q2,78.8,21.7
1995-Q3,78.6,13.1
1995-Q4,78.9,11.6
1996-Q1,78.5,4.7
1996-Q2,76.6,-8.1
