country,FRA,FRA
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1976-Q1,80.3,-2.0
1976-Q2,81.8,15.0
1976-Q3,82.9,20.0
1976-Q4,83.7,14.0
1977-Q1,83.9,14.0
1977-Q2,84.1,8.0
1977-Q3,84.2,-13.0
1977-Q4,83.6,-9.0
1978-Q1,83.9,-10.0
1978-Q2,83.7,-11.0
1978-Q3,84.0,1.0
1978-Q4,84.2,7.0
1979-Q1,84.3,13.0
1979-Q2,84.6,9.0
1979-Q3,84.6,16.0
1979-Q4,85.4,15.0
1980-Q1,86.2,9.0
1980-Q2,85.7,15.0
1980-Q3,85.0,-3.0
1980-Q4,84.2,-16.0
1981-Q1,83.1,-26.0
1981-Q2,82.7,-25.0
1981-Q3,82.8,-26.0
1981-Q4,82.7,-15.0
1982-Q1,82.1,-4.0
1982-Q2,82.5,-9.0
1982-Q3,82.9,-2.0
1982-Q4,82.9,-14.0
1983-Q1,83.4,-7.0
1983-Q2,83.2,-13.0
1983-Q3,82.5,-16.0
1983-Q4,82.6,-12.0
1984-Q1,82.8,-17.0
1984-Q2,82.8,-13.0
1984-Q3,83.1,-13.0
1984-Q4,83.3,-12.0
1985-Q1,82.5,-17.9
1985-Q2,82.2,-22.4
1985-Q3,83.1,-16.8
1985-Q4,83.2,-14.6
1986-Q1,83.4,-14.3
1986-Q2,83.7,-10.6
1986-Q3,83.3,-13.3
1986-Q4,83.0,-9.6
1987-Q1,83.0,-12.5
1987-Q2,83.2,-13.4
1987-Q3,83.5,-12.8
1987-Q4,84.3,4.0
1988-Q1,85.0,12.7
1988-Q2,85.7,14.0
1988-Q3,85.8,12.0
1988-Q4,86.4,17.0
1989-Q1,87.1,14.5
1989-Q2,87.7,10.4
1989-Q3,88.2,14.6
1989-Q4,88.3,10.4
1990-Q1,88.8,7.1
1990-Q2,88.7,7.8
1990-Q3,88.7,-1.5
1990-Q4,88.6,-14.9
1991-Q1,85.6,-23.3
1991-Q2,83.5,-30.4
1991-Q3,83.3,-10.0
1991-Q4,84.8,-9.1
1992-Q1,82.8,-18.1
1992-Q2,82.6,-3.7
1992-Q3,83.3,-10.7
1992-Q4,82.4,-25.5
1993-Q1,81.4,-34.7
1993-Q2,80.9,-43.7
1993-Q3,80.2,-39.4
1993-Q4,80.0,-29.0
1994-Q1,80.4,-14.6
1994-Q2,80.2,3.4
1994-Q3,82.1,17.7
1994-Q4,82.8,22.4
1995-Q1,82.5,26.5
1995-Q2,82.8,18.5
1995-Q3,83.6,11.1
1995-Q4,83.3,-8.6
1996-Q1,82.6,-21.2
1996-Q2,82.7,-11.8
1996-Q3,82.5,-18.9
1996-Q4,79.9,-9.9
1997-Q1,82.2,-10.4
1997-Q2,82.2,-6.4
1997-Q3,83.1,9.1
1997-Q4,83.1,13.3
1998-Q1,84.1,26.3
1998-Q2,83.9,18.5
1998-Q3,85.7,21.7
1998-Q4,84.6,12.7
1999-Q1,84.8,4.9
1999-Q2,84.3,-3.5
1999-Q3,84.4,16.6
1999-Q4,85.0,24.2
2000-Q1,84.9,30.2
2000-Q2,86.2,30.6
2000-Q3,87.2,32.5
2000-Q4,87.0,31.3
