country,NLD,NLD
subject,BSCURT,BSOITE
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1971-Q4,80.55,
1972-Q1,82.93,
1972-Q2,84.31,
1972-Q4,83.52,
1973-Q1,84.94,
1973-Q2,84.35,
1973-Q4,85.44,
1974-Q1,84.05,
1974-Q2,85.34,
1974-Q4,83.44,
1975-Q1,80.22,
1975-Q2,76.17,
1975-Q4,75.51,
1976-Q1,79.37,
1976-Q2,77.05,
1976-Q4,79.63,
1977-Q1,79.46,
1977-Q2,79.86,
1977-Q4,77.81,
1978-Q1,77.99952,
1978-Q2,78.40627,
1978-Q3,79.59547,
1978-Q4,79.98597,
1979-Q1,81.02914,
1979-Q2,80.36484,
1979-Q3,81.64034,
1979-Q4,82.93857,
1980-Q1,83.09441,
1980-Q2,82.29051,
1980-Q3,80.71683,
1980-Q4,78.84363,
1981-Q1,78.20228,
1981-Q2,79.20098,
1981-Q3,78.79837,
1981-Q4,77.71687,
1982-Q1,77.35706,
1982-Q2,76.11428,
1982-Q3,75.82027,
1982-Q4,77.65422,
1983-Q1,78.45431,
1983-Q2,79.08833,
1983-Q3,79.77905,
1983-Q4,80.65917,
1984-Q1,80.49367,
1984-Q2,82.09872,
1984-Q3,82.69513,
1984-Q4,83.73786,
1985-Q1,83.4,1.8
1985-Q2,84.1,5.2
1985-Q3,82.8,7.5
1985-Q4,83.9,0.7
1986-Q1,84.4,1.6
1986-Q2,84.1,1.6
1986-Q3,84.8,5.1
1986-Q4,83.9,6.0
1987-Q1,84.4,4.4
1987-Q2,84.1,2.8
1987-Q3,83.8,10.7
1987-Q4,83.9,6.4
1988-Q1,84.4,11.2
1988-Q2,84.1,15.9
1988-Q3,84.9,12.6
1988-Q4,84.9,13.6
1989-Q1,85.4,12.9
1989-Q2,86.1,14.2
1989-Q3,85.6,11.4
1989-Q4,86.4,12.7
1990-Q1,86.1,10.7
1990-Q2,86.2,15.5
1990-Q3,85.9,6.1
1990-Q4,85.3,6.9
1991-Q1,84.9,7.3
1991-Q2,85.3,-2.9
1991-Q3,84.7,7.7
1991-Q4,83.6,5.2
1992-Q1,83.9,6.0
1992-Q2,83.8,4.3
1992-Q3,84.3,6.5
1992-Q4,82.9,4.4
1993-Q1,81.9,-0.2
1993-Q2,81.2,-1.6
1993-Q3,80.6,8.4
1993-Q4,80.4,3.7
1994-Q1,81.2,7.5
1994-Q2,82.5,16.4
1994-Q3,83.2,14.6
1994-Q4,84.6,14.8
1995-Q1,84.2,15.1
1995-Q2,84.5,14.5
1995-Q3,85.0,9.8
1995-Q4,84.2,8.9
1996-Q1,84.0,9.7
1996-Q2,83.5,8.7
1996-Q3,84.1,9.0
1996-Q4,84.4,10.0
1997-Q1,84.2,9.3
1997-Q2,83.8,10.9
1997-Q3,84.7,14.1
1997-Q4,85.1,17.1
1998-Q1,85.2,12.8
1998-Q2,85.7,7.0
1998-Q3,85.4,9.3
1998-Q4,84.8,-0.6
1999-Q1,84.0,7.3
1999-Q2,84.1,10.0
1999-Q3,83.9,10.6
1999-Q4,84.2,19.4
2000-Q1,84.8,13.3
2000-Q2,84.7,17.6
2000-Q3,84.0,6.1
2000-Q4,84.6,10.8
