country,CZE,CZE
subject,BSCURT,BVCI
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1991,83.35,
1992,73.525,
1993,74.075,
1994,73.7,
1995,77.55,
1996,80.575,
1997,82.175,
1998,82.25,
1999,82.575,
2000,81.825,
2001,84.9,
2002,85.525,
2003,83.825,43.31667
2004,85.325,42.31667
2005,86.6,41.5
2006,87.2,45.675
2007,89.175,45.86666
2008,88.825,37.11666
2009,76.75,13.26667
2010,79.8,23.78333
2011,83.675,25.09167
2012,82.275,24.75833
2013,81.7,24.075
2014,83.0,28.56667
2015,84.9,30.21667
2016,84.5,34.34167
2017,84.175,36.28333
2018,85.775,38.00834
2019,85.05,34.33333
2020,78.225,6.975
2021,83.825,21.325
