country,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA
subject,BSBUCT,BSBUFT,BSCI,BSCURT,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSXRLV
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1980-Q1,,,,84.83334,18.6,2.533333,5.3,25.06667,1.966667
1980-Q2,,,,84.7,14.06667,8.466666,10.9,25.06667,-2.666667
1980-Q3,,,,84.53333,7.733333,2.566667,6.366667,22.86667,-10.2
1980-Q4,,,,83.33334,5.6,-1.233333,-6.266667,18.56667,-10.43333
1981-Q1,,,,81.5,0.3,-10.13333,-19.7,13.0,-11.7
1981-Q2,,,,77.7,-11.6,-25.83333,-27.4,6.166667,-24.0
1981-Q3,,,,75.23333,-7.633333,-30.76667,-24.93333,8.533334,-21.53333
1981-Q4,,,,74.0,0.6,-25.9,-18.76667,19.0,-21.1
1982-Q1,,,,75.5,5.5,-14.46667,-7.9,23.46667,-23.0
1982-Q2,,,,76.7,5.933333,-6.833333,-7.5,19.36667,-28.0
1982-Q3,,,,76.53333,0.2666667,-8.066667,-18.5,16.93333,-35.23333
1982-Q4,,,,75.03333,-11.76667,-12.26667,-26.66667,10.83333,-41.1
1983-Q1,,,,74.2,-10.96667,-14.13333,-28.66667,8.133333,-32.66667
1983-Q2,,,,73.66666,-6.866667,-11.5,-23.53333,11.06667,-17.66667
1983-Q3,,,,72.23333,-9.033334,-8.066667,-29.53333,5.133333,-13.53333
1983-Q4,,,,72.7,-4.533333,-9.966666,-25.43333,8.233334,-11.13333
1984-Q1,,,,73.53333,-0.8,-15.1,-17.3,9.9,-8.966666
1984-Q2,,,,74.33334,7.8,-7.166667,-9.3,13.86667,-6.0
1984-Q3,,,,74.56667,11.93333,-6.033333,-5.333333,18.66667,-4.2
1984-Q4,,,,76.3,18.06667,-1.633333,-0.1333333,25.26667,-8.8
1985-Q1,,,,77.9,18.86667,-3.133333,-7.033333,28.63333,-15.96667
1985-Q2,,,,77.33334,17.53333,-6.166667,-10.36667,27.6,-16.66667
1985-Q3,,,,77.86667,18.83333,4.333333,-1.2,31.4,-7.566667
1985-Q4,,,,80.3,23.36667,9.966666,6.166667,29.36667,-5.466667
1986-Q1,,,,81.9,21.93333,11.53333,2.366667,25.2,-4.266667
1986-Q2,,,,81.63333,19.56667,12.46667,7.133333,25.2,-5.0
1986-Q3,,,,83.2,27.03333,24.7,34.96667,33.23333,0.1333333
1986-Q4,,,,85.3,22.33333,31.63333,36.1,36.46667,1.166667
1987-Q1,,,,84.6,13.13333,26.83333,14.56667,29.33333,-2.933333
1987-Q2,,,,82.7,0.5,12.13333,-18.0,18.53333,-4.333333
1987-Q3,,,,78.93333,-6.666667,-5.633333,-25.73333,9.1,-0.5333334
1987-Q4,,,,79.63333,2.7,-6.333333,-11.96667,21.1,-1.166667
1988-Q1,,,,80.36667,2.333333,-11.13333,-14.36667,15.7,1.066667
1988-Q2,,,,79.93333,5.3,-13.56667,-15.06667,17.53333,3.0
1988-Q3,,,,79.16666,3.833333,-12.3,-11.73333,20.0,0.1
1988-Q4,,,,79.3,2.133333,-8.3,-16.33333,20.56667,-1.5
1989-Q1,,,,79.4,5.5,-1.4,-12.66667,25.6,-3.933333
1989-Q2,,,,80.6,12.86667,1.733333,6.566667,27.26667,-6.033333
1989-Q3,,,,82.76667,13.06667,14.4,4.633333,18.56667,-14.5
1989-Q4,,,,81.63333,8.6,5.0,-11.9,16.7,-22.86667
1990-Q1,,,,79.86667,1.266667,-4.033333,-26.16667,16.73333,-26.6
1990-Q2,,,,72.36667,-14.56667,-17.0,-37.06667,-3.1,-20.73333
1990-Q3,,,,77.36667,-6.366667,2.066667,-17.26667,26.36667,-14.83333
1990-Q4,,,,77.46667,-8.6,-5.333333,-24.13333,22.6,-21.2
1991-Q1,,,,73.36667,-19.03333,-12.66667,-30.53333,12.33333,-12.93333
1991-Q2,,,,75.63333,-6.966667,1.6,-18.63333,30.9,-20.03333
1991-Q3,,,,77.73333,-2.8,-1.9,-18.1,22.96667,-24.8
1991-Q4,,,,74.9,-13.5,-14.03333,-39.03333,8.166667,-22.23333
1992-Q1,,,,71.16666,-15.96667,-29.96667,-40.83333,9.9,-18.6
1992-Q2,,,,72.6,-10.76667,-28.46667,-34.16667,14.4,-14.7
1992-Q3,,,,73.03333,-13.76667,-21.9,-30.26667,9.0,-14.46667
