country,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA
subject,BCBUTE,BCCI,BRBUFT,BRBUTE,BRCI,BREMFT,BSBUCT,BSBUFT,BSCI,BSCURT,BSEMFT,BSFGLV,BSOBLV,BSPRFT,BSXRLV,BVBUTE,BVCI,BVDEFT,BVEMFT,CSCICP02
measure,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA,BLSA
unit,,,,,,,,,,,,,,,,,,,,
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,
1980-01,,,,,,,,,,85.0,20.1,-1.4,2.3,24.8,3.6,,,,,
1980-02,,,,,,,,,,84.8,18.2,2.8,5.5,25.5,2.3,,,,,
1980-03,,,,,,,,,,84.7,17.5,6.2,8.1,24.9,0.0,,,,,
1980-04,,,,,,,,,,84.5,17.0,10.9,11.5,26.4,1.5,,,,,
1980-05,,,,,,,,,,84.7,13.9,8.4,10.8,25.3,-3.9,,,,,
1980-06,,,,,,,,,,84.9,11.3,6.1,10.4,23.5,-5.6,,,,,
1980-07,,,,,,,,,,85.0,7.8,3.7,10.2,24.8,-9.8,,,,,
1980-08,,,,,,,,,,84.5,8.0,2.1,6.0,22.2,-9.7,,,,,
1980-09,,,,,,,,,,84.1,7.4,1.9,2.9,21.6,-11.1,,,,,
1980-10,,,,,,,,,,83.5,6.3,-0.1,-1.5,19.8,-10.2,,,,,
1980-11,,,,,,,,,,83.3,5.9,-1.2,-6.1,18.7,-10.7,,,,,
1980-12,,,,,,,,,,83.2,4.6,-2.4,-11.2,17.2,-10.4,,,,,
1981-01,,,,,,,,,,83.0,7.2,-3.4,-15.7,16.7,-9.4,,,,,
1981-02,,,,,,,,,,81.5,-0.8,-10.2,-19.5,12.5,-11.7,,,,,
1981-03,,,,,,,,,,80.0,-5.5,-16.8,-23.9,9.8,-14.0,,,,,
1981-04,,,,,,,,,,78.5,-14.9,-23.0,-28.4,3.7,-32.5,,,,,
1981-05,,,,,,,,,,77.7,-10.1,-25.6,-27.2,7.3,-18.9,,,,,
1981-06,,,,,,,,,,76.9,-9.8,-28.9,-26.6,7.5,-20.6,,,,,
1981-07,,,,,,,,,,76.1,-11.2,-31.3,-25.7,1.7,-21.8,,,,,
1981-08,,,,,,,,,,75.2,-7.1,-30.9,-25.1,10.3,-21.7,,,,,
1981-09,,,,,,,,,,74.4,-4.6,-30.1,-24.0,13.6,-21.1,,,,,
1981-10,,,,,,,,,,73.5,-1.7,-29.1,-22.9,17.1,-19.2,,,,,
1981-11,,,,,,,,,,74.0,0.9,-26.2,-19.1,18.6,-21.7,,,,,
1981-12,,,,,,,,,,74.5,2.6,-22.4,-14.3,21.3,-22.4,,,,,
1982-01,,,,,,,,,,75.0,5.7,-18.4,-10.3,28.0,-21.3,,,,,
1982-02,,,,,,,,,,75.5,5.2,-14.2,-8.6,21.5,-22.7,,,,,
1982-03,,,,,,,,,,76.0,5.6,-10.8,-4.8,20.9,-25.0,,,,,
1982-04,,,,,,,,,,76.5,7.7,-7.0,-2.7,20.2,-26.5,,,,,
1982-05,,,,,,,,,,76.7,5.9,-6.6,-8.1,19.3,-27.9,,,,,
1982-06,,,,,,,,,,76.9,4.2,-6.9,-11.7,18.6,-29.6,,,,,
1982-07,,,,,,,,,,77.1,6.5,-6.2,-16.4,19.9,-31.9,,,,,
1982-08,,,,,,,,,,76.5,-0.2,-7.9,-18.2,17.3,-34.7,,,,,
1982-09,,,,,,,,,,76.0,-5.5,-10.1,-20.9,13.6,-39.1,,,,,
1982-10,,,,,,,,,,75.5,-12.7,-11.2,-23.6,12.7,-44.2,,,,,
1982-11,,,,,,,,,,75.1,-11.1,-12.2,-27.0,10.6,-40.7,,,,,
1982-12,,,,,,,,,,74.5,-11.5,-13.4,-29.4,9.2,-38.4,,,,,
1983-01,,,,,,,,,,74.1,-13.6,-14.4,-32.6,5.0,-40.3,,,,,
1983-02,,,,,,,,,,74.2,-10.9,-14.2,-28.7,9.4,-31.7,,,,,
1983-03,,,,,,,,,,74.3,-8.4,-13.8,-24.7,10.0,-26.0,,,,,
1983-04,,,,,,,,,,74.4,-4.7,-13.0,-19.7,14.4,-17.5,,,,,
1983-05,,,,,,,,,,73.7,-8.0,-11.6,-24.1,10.3,-18.9,,,,,
1983-06,,,,,,,,,,72.9,-7.9,-9.9,-26.8,8.5,-16.6,,,,,
1983-07,,,,,,,,,,72.1,-11.5,-9.2,-30.5,2.7,-13.8,,,,,
1983-08,,,,,,,,,,72.2,-8.2,-7.9,-29.2,6.1,-14.7,,,,,
1983-09,,,,,,,,,,72.4,-7.4,-7.1,-28.9,6.6,-12.1,,,,,
1983-10,,,,,,,,,,72.5,-5.1,-6.3,-27.9,7.8,-11.3,,,,,
1983-11,,,,,,,,,,72.7,-5.0,-10.2,-25.0,7.7,-10.7,,,,,
1983-12,,,,,,,,,,72.9,-3.5,-13.4,-23.4,9.2,-11.4,,,,,
1984-01,,,,,,,,,,73.1,-5.2,-16.3,-20.5,8.3,-11.2,,,,,
1984-02,,,,,,,,,,73.5,0.1,-15.2,-17.7,10.4,-8.7,,,,,
1984-03,,,,,,,,,,74.0,2.7,-13.8,-13.7,11.0,-7.0,,,,,
1984-04,,,,,,,,,,74.4,7.3,0.0,-10.1,11.7,-4.5,,,,,
1984-05,,,,,,,,,,74.3,8.0,-11.6,-9.1,14.3,-6.9,,,,,
1984-06,,,,,,,,,,74.3,8.1,-9.9,-8.7,15.6,-6.6,,,,,
1984-07,,,,,,,,,,74.1,9.4,-8.1,-8.9,15.1,-1.8,,,,,
1984-08,,,,,,,,,,74.6,11.8,-5.9,-5.1,19.3,-5.7,,,,,
1984-09,,,,,,,,,,75.0,14.6,-4.1,-2.0,21.6,-5.1,,,,,
1984-10,,,,,,,,,,75.4,17.7,-2.3,1.9,24.9,-8.3,,,,,
1984-11,,,,,,,,,,76.3,18.0,-2.2,0.0,24.6,-7.7,,,,,
1984-12,,,,,,,,,,77.2,18.5,-0.4,-2.3,26.3,-10.4,,,,,
1985-01,,,,,,,,,,78.1,19.9,0.6,-3.7,30.5,-15.2,,,,,
1985-02,,,,,,,,,,77.9,19.1,-3.2,-7.6,27.6,-15.7,,,,,
1985-03,,,,,,,,,,77.7,17.6,-6.8,-9.8,27.8,-17.0,,,,,
1985-04,,,,,,,,,,77.4,17.5,-10.0,-13.3,24.8,-21.5,,,,,
1985-05,,,,,,,,,,77.3,17.0,-6.6,-10.2,28.3,-15.9,,,,,
1985-06,,,,,,,,,,77.3,18.1,-1.9,-7.6,29.7,-12.6,,,,,
1985-07,,,,,,,,,,77.1,16.1,2.0,-4.5,34.3,-6.9,,,,,
1985-08,,,,,,,,,,77.9,19.8,4.1,-1.1,30.3,-7.7,,,,,
1985-09,,,,,,,,,,78.6,20.6,6.9,2.0,29.6,-8.1,,,,,
1985-10,,,,,,,,,,79.4,23.6,9.6,5.8,32.1,-6.3,,,,,
1985-11,,,,,,,,,,80.3,23.0,9.8,5.9,28.7,-5.7,,,,,
1985-12,,,,,,,,,,81.2,23.5,10.5,6.8,27.3,-4.4,,,,,
1986-01,,,,,,,,,,82.1,25.2,10.6,6.4,24.1,-4.2,,,,,
1986-02,,,,,,,,,,81.9,21.0,11.8,2.5,25.6,-3.7,,,,,
1986-03,,,,,,,,,,81.7,19.6,12.2,-1.8,25.9,-4.9,,,,,
1986-04,,,,,,,,,,81.4,13.6,3.9,-5.8,19.6,-8.5,,,,,
1986-05,,,,,,,,,,81.6,20.9,15.4,6.8,27.3,-3.9,,,,,
1986-06,,,,,,,,,,81.9,24.2,18.1,20.4,28.7,-2.6,,,,,
1986-07,,,,,,,,,,82.1,29.7,21.1,32.9,32.8,0.2,,,,,
1986-08,,,,,,,,,,83.2,25.8,25.1,35.0,33.3,0.3,,,,,
1986-09,,,,,,,,,,84.3,25.6,27.9,37.0,33.6,-0.1,,,,,
1986-10,,,,,,,,,,85.3,25.6,30.6,38.7,41.4,4.6,,,,,
1986-11,,,,,,,,,,85.3,22.0,31.8,36.9,34.7,0.3,,,,,
1986-12,,,,,,,,,,85.3,19.4,32.5,32.7,33.3,-1.4,,,,,
1987-01,,,,,,,,,,85.2,18.6,33.5,31.0,35.5,-3.2,,,,,
1987-02,,,,,,,,,,84.6,12.1,26.8,14.5,28.6,-2.7,,,,,
1987-03,,,,,,,,,,84.0,8.7,20.2,-1.8,23.9,-2.9,,,,,
1987-04,,,,,,,,,,83.4,1.4,14.9,-18.2,13.7,-7.5,,,,,
1987-05,,,,,,,,,,82.7,1.0,12.4,-18.1,20.3,-3.9,,,,,
