country,BEL,BEL
subject,BSCURT,BVCI
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1979,76.195,
1980,77.2175,
1981,74.8675,
1982,75.8975,
1983,75.8475,
1984,76.18,
1985,77.65,
1986,77.3,
1987,76.55,
1988,78.275,
1989,80.275,
1990,81.05,
1991,79.45,
1992,77.425,
1993,74.85,
1994,77.55,
1995,80.6,17.25
1996,79.425,8.783334
1997,81.55,17.6
1998,82.625,26.45
1999,81.025,23.54167
2000,84.1,21.89167
2001,82.025,10.3
2002,80.175,0.3583333
2003,78.8,2.220446e-16
2004,80.425,11.06667
2005,79.5,10.56667
2006,83.0,18.925
2007,83.325,26.84167
2008,83.175,8.825
2009,72.35,-23.75
2010,78.275,12.96667
2011,79.925,17.9
2012,77.575,1.166667
2013,76.825,5.616667
2014,79.1,13.06667
2015,79.625,13.75
2016,80.05,19.39167
2017,81.8,15.80833
2018,80.925,14.7
2019,81.175,7.441667
2020,75.525,-19.86667
2021,80.075,14.5
2022,79.05,12.51667
