country,BEL,BEL
subject,BSCURT,BVCI
measure,BLSA,BLSA
unit,,
powercode,Units,Units
reference_period,,
time,,
1979,76.195,
1980,77.2175,
1981,74.8675,
1982,75.8975,
1983,75.8475,
1984,76.18,
1985,77.65,
1986,77.3,
1987,76.55,
1988,78.275,
1989,80.275,
1990,81.05,
1991,79.45,
1992,77.425,
1993,74.85,
1994,77.55,
1995,80.6,17.24167
1996,79.425,8.783334
1997,81.55,17.59167
1998,82.625,26.43333
1999,81.025,23.55833
2000,84.1,21.875
2001,82.025,10.28333
2002,80.175,0.3583333
2003,78.8,-0.01666667
2004,80.425,11.06667
2005,79.5,10.575
2006,83.0,18.91667
2007,83.325,26.85
2008,83.175,8.816667
2009,72.35,-23.75833
2010,78.275,12.95
2011,79.925,17.89167
2012,77.575,1.158333
2013,76.825,5.6
2014,79.1,13.06667
2015,79.625,13.75
2016,80.05,19.40833
2017,81.8,15.8
2018,80.925,14.68333
2019,81.175,7.45
2020,75.525,-19.85833
2021,80.075,14.5
2022,79.05,12.51667
