country,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20
subject,B6CRSE01,B6DBSE01,CPALTT01,CPALTT01,CPALTT01,NAEXKP01,NAEXKP01,NAEXKP01,NAEXKP01,PWCWCP03,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTNTVA01,XTNTVA01
measure,CXCUSA,CXCUSA,GP,GY,IXOB,GPSA,GYSA,IXOBSA,STSA,AL,CXML,CXMLSA,GPSA,GYSA,STSA,CXML,CXMLSA,GPSA,GYSA,STSA,CXML,CXMLSA
unit,US Dollar,US Dollar,Percentage,Percentage,Index,Percentage,Percentage,Index,US Dollar,Percentage,US Dollar,US Dollar,Percentage,Percentage,Percentage,US Dollar,US Dollar,Percentage,Percentage,Percentage,US Dollar,US Dollar
powercode,Millions,Millions,Units,Units,Units,Units,Units,Units,Billions,Units,Billions,Billions,Units,Units,Units,Billions,Billions,Units,Units,Units,Billions,Billions
reference_period,,,,,2015=100,,,2015=100,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,48.6293365911006,,,,,,,,,,,,,,,,,
1997,,,6.26209687268999,6.26209687268999,51.6745527569818,,,53.8729486433628,48063.0388149635,100.0,,,,,,,,,,,,
1998,,,6.61094704053344,6.61094704053344,55.0907300731783,2.50986245485869,2.50986245485869,55.2250855546879,49269.3549808444,100.0,,,,,,,,,,,,
1999,,,6.10337451328494,6.10337451328494,58.4531236516473,3.70084833076729,3.70084833076729,57.2688822116034,51092.7390822328,100.0,,,,,,,,,,,,
2000,,,4.4548647728663,4.4548647728663,61.0571312658445,4.71883578160101,4.71883578160101,59.9713067171274,53503.7215358453,100.0,,,,,,,,,,,,
