country,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20,G-20
subject,B6CRSE01,B6DBSE01,CPALTT01,CPALTT01,CPALTT01,NAEXKP01,NAEXKP01,NAEXKP01,NAEXKP01,PWCWCP03,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTNTVA01,XTNTVA01
measure,CXCUSA,CXCUSA,GP,GY,IXOB,GPSA,GYSA,IXOBSA,STSA,AL,CXML,CXMLSA,GPSA,GYSA,STSA,CXML,CXMLSA,GPSA,GYSA,STSA,CXML,CXMLSA
unit,US Dollar,US Dollar,Percentage,Percentage,Index,Percentage,Percentage,Index,US Dollar,Percentage,US Dollar,US Dollar,Percentage,Percentage,Percentage,US Dollar,US Dollar,Percentage,Percentage,Percentage,US Dollar,US Dollar
powercode,Millions,Millions,Units,Units,Units,Units,Units,Units,Billions,Units,Billions,Billions,Units,Units,Units,Billions,Billions,Units,Units,Units,Billions,Billions
reference_period,,,,,2015=100,,,2015=100,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,100.0,,,,,,,,,,,,
1996,,,,,48.5897767850079,,,,,100.0,,,,,,,,,,,,
1997,,,6.25995892427323,6.25995892427323,51.6314768531455,,,53.9540557412916,48126.6897607415,100.0,,,,,,,,,,,,
1998,,,6.61529277795417,6.61529277795417,55.0470502125627,2.50957235600288,2.50957235600288,55.3080718091174,49334.4638628363,100.0,,,,,,,,,,,,
1999,,,6.10213482252512,6.10213482252512,58.4060954323564,3.70030628614646,3.70030628614646,57.3546398670166,51159.9901303895,100.0,,,,,,,,,,,,
2000,,,4.4537988249127,4.4537988249127,61.0073854244,4.70289547117226,4.70289547117226,60.0519686278297,53565.9909892838,100.0,,,,,,,,,,,,
