,id,name
0,BSCURT02,Business tendency surveys (manufacturing) > Capacity utilisation > Rate of capacity utilisation > National indicator
1,BSOITE02,Business tendency surveys (manufacturing) > Orders inflow > Tendency > National indicator
2,CCUSMA02,Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD
3,CCUSSP02,"Currency Conversions > US$ exchange rate > Spot, end of period > National currency:USD"
4,ULQELP01,Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Labour Productivity > Total
5,ULQECU01,Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Labour Compensation per Unit of Labour Input > Total
6,ULQEUL01,Unit Labour Costs > Early Estimate of Quarterly ULC indicators > Unit Labour Costs > Total
7,NAEXKP04,National Accounts > GDP by Expenditure > Constant Prices > Gross Fixed Capital Formation
8,NAEXKP06,National Accounts > GDP by Expenditure > Constant Prices > Exports of Goods and Services
9,NAEXCP02,National Accounts > GDP by Expenditure > Current Prices > Private Final Consumption Expenditure
10,NAEXKP03,National Accounts > GDP by Expenditure > Constant Prices > Government Final Consumption Expenditure
11,NAEXKP01,National Accounts > GDP by Expenditure > Constant Prices > Gross Domestic Product - Total
12,NAEXKP02,National Accounts > GDP by Expenditure > Constant Prices > Private Final Consumption Expenditure
13,NAGIGP01,National Accounts > National Accounts Deflators > Gross Domestic Product > GDP Deflator
14,NAEXCP01,National Accounts > GDP by Expenditure > Current Prices > Gross Domestic Product - Total
15,NAEXCP07,National Accounts > GDP by Expenditure > Current Prices > less: Imports of Goods and Services
16,NAEXCP06,National Accounts > GDP by Expenditure > Current Prices > Exports of Goods and Services
17,NAEXCP03,National Accounts > GDP by Expenditure > Current Prices > Government Final Consumption Expenditure
18,NAEXKP07,National Accounts > GDP by Expenditure > Constant Prices > Less: Imports of Goods and Services
19,NAEXCP05,National Accounts > GDP by Expenditure > Current Prices > Changes in inventories and net acquisition of valuables
20,NAEXCP04,National Accounts > GDP by Expenditure > Current Prices > Gross Fixed Capital Formation
21,LCEAMN01,Labour Compensation > Earnings > Manufacturing > Hourly
22,LCEAPR01,Labour Compensation > Earnings > Private sector > Hourly
23,XTIMVA01,International Trade > Imports > Value (goods) > Total
24,IRLTLT01,Interest Rates > Long-term government bond yields > 10-year > Main (including benchmark)
25,XTEXVA01,International Trade > Exports > Value (goods) > Total
26,IR3TIB01,Interest Rates > 3-month or 90-day rates and yields > Interbank rates > Total
27,IRSTCI01,Interest Rates > Immediate rates (< 24 hrs) > Call money/interbank rate > Total
28,B6BLSE01,Balance of payments BPM6 > Current account Balance > Services > Total Balance
29,B6CACR02,Balance of payments BPM6 > Capital account > Capital account Credits > Capital transfers Credits
30,B6CADB02,Balance of payments BPM6 > Capital account > Capital account Debits > Capital transfers Debits
