country,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL
subject,BSCICP03,CCRETT01,CCUSMA02,CCUSMA02,CCUSMA02,CCUSSP01,CSCICP03,CSCICP04,IR3TBB01,IR3TIB01,IRLTLT01,IRSTCI01,LMUNRLTT,LMUNRLTT,LOCOMAOR,LOCOSTOR,LORSGPNO,LORSGPRT,LORSGPTD,MABMM301,MABMM301,MABMM301,MABMM301,MABMM301,MABMM301,MANMM101,MANMM101,MANMM101,MANMM101,MANMM101,ODCNPI03,ODCNPI03,ODCNPI03,ODCNPI03,ODCNPI03,SLRTCR03,SLRTCR03,SLRTCR03,SLRTCR03,SLRTCR03,SLRTCR03,SLRTCR03,SPASTT01,SPASTT01,SPASTT01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTEXVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTIMVA01,XTNTVA01,XTNTVA01,XTNTVA01,XTNTVA01
measure,IXNSA,IXOB,GY,IXOB,ST,ST,IXNSA,GPSA,ST,ST,ST,ST,ST,STSA,IXOBSA,ST,STSA,STSA,STSA,GPSA,GYSA,IXOB,IXOBSA,ST,STSA,GPSA,IXOB,IXOBSA,ST,STSA,GPSA,GYSA,IXOB,IXOBSA,ML,GPSA,GY,GYSA,IXOB,IXOBSA,ML,MLSA,GP,GY,IXOB,CXML,CXMLSA,GPSA,GYSA,NCML,NCMLSA,CXML,CXMLSA,GPSA,GYSA,NCML,NCMLSA,CXML,CXMLSA,NCML,NCMLSA
unit,Index,Index,Percentage,Index,New Zealand Dollar,New Zealand Dollar,Index,Percentage,Percentage,Percentage,Percentage,Percentage,Persons,Persons,Index,Percentage,Index,Index,Index,Percentage,Percentage,Index,Index,New Zealand Dollar,New Zealand Dollar,Percentage,Index,Index,New Zealand Dollar,New Zealand Dollar,Percentage,Percentage,Index,Index,Number,Percentage,Percentage,Percentage,Index,Index,Number,Number,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage,Percentage,New Zealand Dollar,New Zealand Dollar,US Dollar,US Dollar,Percentage,Percentage,New Zealand Dollar,New Zealand Dollar,US Dollar,US Dollar,New Zealand Dollar,New Zealand Dollar
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Thousands,Thousands,Units,Units,Units,Units,Units,Units,Units,Units,Units,Billions,Billions,Units,Units,Units,Billions,Billions,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Thousands,Units,Units,Units,Billions,Billions,Units,Units,Billions,Billions,Billions,Billions,Units,Units,Billions,Billions,Billions,Billions,Billions,Billions
reference_period,,2015=100,,2015=100,,,,,,,,,,,2015=100,,,,,,,2015=100,2015=100,,,,2015=100,2015=100,,,,,2015=100,2015=100,,,,,2015=100,2015=100,,,,,2015=100,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042984,,,,,,,,,,,
1951-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064774,,,,,,,,,,,
1951-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024432,,,,,,,,,,,
1951-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034348,,,,,,,,,,,
1951-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050904,,,,,,,,,,,
1951-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04558,,,,,,,,,,,
1951-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049804,,,,,,,,,,,
1951-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039888,,,,,,,,,,,
1951-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031384,,,,,,,,,,,
1951-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038894,,,,,,,,,,,
1951-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031434,,,,,,,,,,,
1951-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041838,,,,,,,,,,,
1952-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035112,,,,,,,,,,,
1952-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046346,,,,,,,,,,,
1952-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052342,,,,,,,,,,,
1952-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043502,,,,,,,,,,,
1952-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056972,,,,,,,,,,,
1952-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04088,,,,,,,,,,,
1952-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04436,,,,,,,,,,,
1952-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032798,,,,,,,,,,,
1952-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026764,,,,,,,,,,,
1952-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04041,,,,,,,,,,,
1952-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027222,,,,,,,,,,,
1952-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034918,,,,,,,,,,,
1953-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03226,,,,,,,,,,,
1953-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052616,,,,,,,,,,,
1953-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044516,,,,,,,,,,,
1953-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05405,,,,,,,,,,,
1953-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051714,,,,,,,,,,,
