country,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,98.46171,97.6786,21.72174
1960-03,,,,,,,98.60963,97.90027,21.80212
1960-04,,,,,,,98.75107,98.11221,21.88279
1960-05,,,,,,,98.87896,98.30386,21.96375
1960-06,,,,,,,98.99298,98.47472,22.04498
1960-07,,,,,,,99.10724,98.64595,22.12649
1960-08,,,,,,,99.24232,98.84837,22.20824
1960-09,,,,,,,99.41715,99.11037,22.29022
1960-10,,,,,,,99.63931,99.44327,22.37242
1960-11,,,,,,,99.90549,99.84216,22.45481
1960-12,,,,,,,100.1984,100.2811,22.53737
1961-01,,,,,,,100.4801,100.7032,22.62007
1961-02,,,,,,,100.7084,101.0454,22.70289
1961-03,,,,,,,100.8544,101.2642,22.7858
1961-04,,,,,,,100.9234,101.3676,22.86879
1961-05,,,,,,,100.939,101.3909,22.95183
1961-06,,,,,,,100.9321,101.3805,23.0349
1961-07,,,,,,,100.9341,101.3836,23.118
1961-08,,,,,,,100.9682,101.4347,23.20111
1961-09,,,,,,,101.0399,101.5421,23.28423
1961-10,,,,,,,101.1252,101.6699,23.36733
1961-11,,,,,,,101.1848,101.7593,23.45042
1961-12,,,,,,,101.1769,101.7473,23.53348
1962-01,,,,,,,101.0714,101.5893,23.61653
1962-02,,,,,,,100.8561,101.2667,23.69956
1962-03,,,,,,,100.5483,100.8055,23.78257
1962-04,,,,,,,100.2141,100.3046,23.86559
1962-05,,,,,,,99.93125,99.88076,23.94862
1962-06,,,,,,,99.75552,99.61742,24.03167
1962-07,,,,,,,99.68418,99.51052,24.11476
1962-08,,,,,,,99.68373,99.50984,24.19789
1962-09,,,,,,,99.7091,99.54785,24.28108
1962-10,,,,,,,99.71752,99.56048,24.36432
1962-11,,,,,,,99.67851,99.50202,24.44764
1962-12,,,,,,,99.58504,99.36196,24.53102
1963-01,,,,,,,99.46787,99.18637,24.61449
1963-02,,,,,,,99.37086,99.04099,24.69805
1963-03,,,,,,,99.32836,98.97731,24.7817
1963-04,,,,,,,99.34146,98.99693,24.86544
1963-05,,,,,,,99.39632,99.07914,24.94929
1963-06,,,,,,,99.47822,99.20187,25.03322
1963-07,,,,,,,99.58247,99.35809,25.11725
1963-08,,,,,,,99.70907,99.54781,25.20136
1963-09,,,,,,,99.85577,99.76765,25.28555
1963-10,,,,,,,100.0095,99.99799,25.36981
1963-11,,,,,,,100.1532,100.2134,25.45414
1963-12,,,,,,,100.2725,100.3922,25.53852
1964-01,,,,,,,100.3627,100.5273,25.62295
1964-02,,,,,,,100.4244,100.6198,25.70742
1964-03,,,,,,,100.4617,100.6757,25.79193
1964-04,,,,,,,100.4817,100.7056,25.87647
1964-05,,,,,,,100.4898,100.7178,25.96103
1964-06,,,,,,,100.4867,100.7132,26.04563
1964-07,,,,,,,100.4657,100.6816,26.13025
1964-08,,,,,,,100.4228,100.6173,26.21489
1964-09,,,,,,,100.3686,100.5361,26.29956
1964-10,,,,,,,100.3408,100.4945,26.38427
1964-11,,,,,,,100.3825,100.557,26.46901
1964-12,,,,,,,100.5184,100.7606,26.5538
1965-01,,,,,,,100.7262,101.072,26.63865
1965-02,,,,,,,100.9625,101.4262,26.72355
1965-03,,,,,,,101.1834,101.7572,26.80853
1965-04,,,,,,,101.3627,102.0258,26.89358
1965-05,,,,,,,101.4833,102.2066,26.97873
1965-06,,,,,,,101.5318,102.2792,27.064
1965-07,,,,,,,101.4963,102.226,27.14941
1965-08,,,,,,,101.368,102.0338,27.235
1965-09,,,,,,,101.148,101.7041,27.3208
1965-10,,,,,,,100.8605,101.2732,27.40685
1965-11,,,,,,,100.5416,100.7953,27.49321
1965-12,,,,,,,100.2326,100.3324,27.57991
1966-01,,,,,,,99.97646,99.94849,27.66702
1966-02,,,,,,,99.80984,99.69881,27.75458
1966-03,,,,,,,99.75269,99.61317,27.84265
1966-04,,,,,,,99.79071,99.67016,27.93128
1966-05,,,,,,,99.8971,99.82958,28.02052
1966-06,,,,,,,100.0467,100.0538,28.11043
1966-07,,,,,,,100.2254,100.3216,28.20105
1966-08,,,,,,,100.4209,100.6144,28.29243
1966-09,,,,,,,100.6114,100.9,28.38464
1966-10,,,,,,,100.7534,101.1127,28.47771
1966-11,,,,,,,100.8006,101.1835,28.57172
1966-12,,,,,,,100.728,101.0747,28.66673
1967-01,,,,,,,100.5606,100.8239,28.76278
1967-02,,,,,,,100.3417,100.4958,28.85998
1967-03,,,,,,,100.1065,100.1434,28.95837
1967-04,,,,,,,99.86133,99.77597,29.05804
1967-05,,,,,,,99.59724,99.38024,29.15906
1967-06,,,,,,,99.30479,98.94198,29.26151
1967-07,,,,,,,98.98925,98.46913,29.36546
1967-08,,,,,,,98.66522,97.98357,29.47098
1967-09,,,,,,,98.3527,97.51525,29.57816
1967-10,,,,,,,98.07385,97.09739,29.68705
1967-11,,,,,,,97.84903,96.76048,29.79772
1967-12,,,,,,,97.69039,96.52276,29.91024
1968-01,,,,,,,97.59163,96.37476,30.02464
1968-02,,,,,,,97.53771,96.29396,30.14099
1968-03,,,,,,,97.50987,96.25224,30.25931
1968-04,,,,,,,97.48705,96.21803,30.37962
1968-05,,,,,,,97.45464,96.16948,30.50196
1968-06,,,,,,,97.41266,96.10657,30.62633
1968-07,,,,,,,97.384,96.06362,30.75273
1968-08,,,,,,,97.40301,96.0921,30.88117
1968-09,,,,,,,97.50294,96.24187,31.01162
1968-10,,,,,,,97.69997,96.5371,31.14407
1968-11,,,,,,,97.99525,96.97961,31.27848
1968-12,,,,,,,98.36957,97.54052,31.41481
1969-01,,,,,,,98.76965,98.14005,31.55299
1969-02,,,,,,,99.13561,98.68846,31.69298
1969-03,,,,,,,99.42645,99.12429,31.83471
1969-04,,,,,,,99.6478,99.45601,31.9781
1969-05,,,,,,,99.82563,99.72249,32.12309
1969-06,,,,,,,99.98373,99.9594,32.26961
1969-07,,,,,,,100.124,100.1696,32.41757
1969-08,,,,,,,100.2372,100.3392,32.56691
1969-09,,,,,,,100.3143,100.4548,32.71754
1969-10,,,,,,,100.3603,100.5238,32.86938
1969-11,,,,,,,100.3898,100.5679,33.02235
1969-12,,,,,,,100.4253,100.6211,33.17638
1970-01,,,,,,,100.4963,100.7275,33.33138
1970-02,,,,,,,100.6285,100.9256,33.48727
1970-03,,,,,,,100.83,101.2275,33.64399
1970-04,,,,,,,101.0728,101.5914,33.80143
1970-05,,,,,,,101.3112,101.9487,33.95954
1970-06,,,,,,,101.4961,102.2258,34.11821
1970-07,,,,,,,101.5903,102.3668,34.2774
1970-08,,,,,,,101.563,102.326,34.43701
1970-09,,,,,,,101.3914,102.0688,34.597
1970-10,,,,,,,101.07,101.5872,34.75729
1970-11,,,,,,,100.6166,100.9079,34.91785
1970-12,,,,,,,100.0882,100.116,35.07861
1971-01,,,,,,,99.6048,99.39156,35.23955
1971-02,,,,,,,99.28857,98.91767,35.40061
1971-03,,,,,,,99.20347,98.79015,35.56175
1971-04,,,,,,,99.28272,98.90891,35.7229
1971-05,,,,,,,99.40833,99.09713,35.88401
1971-06,,,,,,,99.47584,99.1983,36.04501
1971-07,,,,,,,99.45589,99.16841,36.20581
1971-08,,,,,,,99.36823,99.03706,36.36636
1971-09,,,,,,,99.26144,98.87702,36.52659
1971-10,,,,,,,99.1974,98.78105,36.68641
1971-11,,,,,,,99.22857,98.82777,36.84575
1971-12,,,,,,,99.37272,99.04378,37.00452
1972-01,,,,,,,99.58041,99.35502,37.16264
1972-02,,,,,,,99.7804,99.65471,37.31999
1972-03,,,,,,,99.9201,99.86404,37.47648
1972-04,,,,,,,100.0067,99.99378,37.63201
1972-05,,,,,,,100.0769,100.0991,37.78648
1972-06,,,,,,,100.1706,100.2394,37.93978
1972-07,,,,,,,100.305,100.4409,38.09182
1972-08,,,,,,,100.483,100.7075,38.24247
1972-09,,,,,,,100.6978,101.0295,38.39165
1972-10,,,,,,,100.9353,101.3854,38.53925
1972-11,,,,,,,101.1724,101.7406,38.68515
1972-12,,,,,,,101.3741,102.0429,38.82927
1973-01,,,,,,,101.4915,102.2189,38.97149
1973-02,,,,,,,101.487,102.2121,39.11173
1973-03,,,,,,,101.3657,102.0303,39.2499
1973-04,,,,,,,101.2147,101.8041,39.38594
1973-05,,,,,,,101.1433,101.6971,39.51976
