country,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,98.45929,97.6786,21.72174
1960-03,,,,,,,98.6075,97.90027,21.80212
1960-04,,,,,,,98.74921,98.11221,21.88279
1960-05,,,,,,,98.87734,98.30386,21.96375
1960-06,,,,,,,98.99158,98.47472,22.04498
1960-07,,,,,,,99.10606,98.64595,22.12649
1960-08,,,,,,,99.2414,98.84837,22.20824
1960-09,,,,,,,99.41657,99.11037,22.29022
1960-10,,,,,,,99.63915,99.44327,22.37242
1960-11,,,,,,,99.90585,99.84216,22.45481
1960-12,,,,,,,100.1993,100.2811,22.53737
1961-01,,,,,,,100.4815,100.7032,22.62007
1961-02,,,,,,,100.7103,101.0454,22.70289
1961-03,,,,,,,100.8566,101.2642,22.7858
1961-04,,,,,,,100.9258,101.3676,22.86879
1961-05,,,,,,,100.9413,101.3909,22.95183
1961-06,,,,,,,100.9344,101.3805,23.0349
1961-07,,,,,,,100.9365,101.3836,23.118
1961-08,,,,,,,100.9706,101.4347,23.20111
1961-09,,,,,,,101.0424,101.5421,23.28423
1961-10,,,,,,,101.1279,101.6699,23.36733
1961-11,,,,,,,101.1876,101.7593,23.45042
1961-12,,,,,,,101.1796,101.7473,23.53348
1962-01,,,,,,,101.074,101.5893,23.61653
1962-02,,,,,,,100.8583,101.2667,23.69956
1962-03,,,,,,,100.5499,100.8055,23.78257
1962-04,,,,,,,100.2151,100.3046,23.86559
1962-05,,,,,,,99.93166,99.88076,23.94862
1962-06,,,,,,,99.75559,99.61742,24.03167
1962-07,,,,,,,99.68411,99.51052,24.11476
1962-08,,,,,,,99.68366,99.50984,24.19789
1962-09,,,,,,,99.70908,99.54785,24.28108
1962-10,,,,,,,99.71751,99.56048,24.36432
1962-11,,,,,,,99.67843,99.50202,24.44764
1962-12,,,,,,,99.58479,99.36196,24.53102
1963-01,,,,,,,99.46739,99.18637,24.61449
1963-02,,,,,,,99.37019,99.04099,24.69805
1963-03,,,,,,,99.32761,98.97731,24.7817
1963-04,,,,,,,99.34073,98.99693,24.86544
1963-05,,,,,,,99.39569,99.07914,24.94929
1963-06,,,,,,,99.47775,99.20187,25.03322
1963-07,,,,,,,99.58221,99.35809,25.11725
1963-08,,,,,,,99.70905,99.54781,25.20136
1963-09,,,,,,,99.85604,99.76765,25.28555
1963-10,,,,,,,100.01,99.99799,25.36981
1963-11,,,,,,,100.154,100.2134,25.45414
1963-12,,,,,,,100.2736,100.3922,25.53852
1964-01,,,,,,,100.3639,100.5273,25.62295
1964-02,,,,,,,100.4258,100.6198,25.70742
1964-03,,,,,,,100.4632,100.6757,25.79193
1964-04,,,,,,,100.4832,100.7056,25.87647
1964-05,,,,,,,100.4913,100.7178,25.96103
1964-06,,,,,,,100.4882,100.7132,26.04563
1964-07,,,,,,,100.4671,100.6816,26.13025
1964-08,,,,,,,100.4241,100.6173,26.21489
1964-09,,,,,,,100.3698,100.5361,26.29956
1964-10,,,,,,,100.342,100.4945,26.38427
1964-11,,,,,,,100.3838,100.557,26.46901
1964-12,,,,,,,100.5199,100.7606,26.5538
1965-01,,,,,,,100.7281,101.072,26.63865
1965-02,,,,,,,100.9649,101.4262,26.72355
1965-03,,,,,,,101.1862,101.7572,26.80853
1965-04,,,,,,,101.3658,102.0258,26.89358
1965-05,,,,,,,101.4867,102.2066,26.97873
1965-06,,,,,,,101.5352,102.2792,27.064
1965-07,,,,,,,101.4997,102.226,27.14941
1965-08,,,,,,,101.3712,102.0338,27.235
1965-09,,,,,,,101.1507,101.7041,27.3208
1965-10,,,,,,,100.8627,101.2732,27.40685
1965-11,,,,,,,100.5431,100.7953,27.49321
1965-12,,,,,,,100.2336,100.3324,27.57991
1966-01,,,,,,,99.97694,99.94849,27.66702
1966-02,,,,,,,99.81001,99.69881,27.75458
1966-03,,,,,,,99.75275,99.61317,27.84265
1966-04,,,,,,,99.79085,99.67016,27.93128
1966-05,,,,,,,99.89745,99.82958,28.02052
1966-06,,,,,,,100.0474,100.0538,28.11043
1966-07,,,,,,,100.2264,100.3216,28.20105
1966-08,,,,,,,100.4222,100.6144,28.29243
1966-09,,,,,,,100.6131,100.9,28.38464
1966-10,,,,,,,100.7553,101.1127,28.47771
1966-11,,,,,,,100.8027,101.1835,28.57172
1966-12,,,,,,,100.7299,101.0747,28.66673
1967-01,,,,,,,100.5623,100.8239,28.76278
1967-02,,,,,,,100.3429,100.4958,28.85998
1967-03,,,,,,,100.1072,100.1434,28.95837
1967-04,,,,,,,99.8616,99.77597,29.05804
1967-05,,,,,,,99.59701,99.38024,29.15906
1967-06,,,,,,,99.30399,98.94198,29.26151
1967-07,,,,,,,98.98785,98.46913,29.36546
1967-08,,,,,,,98.6632,97.98357,29.47098
1967-09,,,,,,,98.35007,97.51525,29.57816
1967-10,,,,,,,98.07069,97.09739,29.68705
1967-11,,,,,,,97.84544,96.76048,29.79772
1967-12,,,,,,,97.68649,96.52276,29.91024
1968-01,,,,,,,97.58754,96.37476,30.02464
1968-02,,,,,,,97.53352,96.29396,30.14099
1968-03,,,,,,,97.50563,96.25224,30.25931
1968-04,,,,,,,97.48276,96.21803,30.37962
1968-05,,,,,,,97.45029,96.16948,30.50196
1968-06,,,,,,,97.40823,96.10657,30.62633
1968-07,,,,,,,97.37952,96.06362,30.75273
1968-08,,,,,,,97.39856,96.0921,30.88117
1968-09,,,,,,,97.4987,96.24187,31.01162
1968-10,,,,,,,97.69609,96.5371,31.14407
1968-11,,,,,,,97.99194,96.97961,31.27848
1968-12,,,,,,,98.36697,97.54052,31.41481
1969-01,,,,,,,98.76782,98.14005,31.55299
1969-02,,,,,,,99.13449,98.68846,31.69298
1969-03,,,,,,,99.42588,99.12429,31.83471
1969-04,,,,,,,99.64767,99.45601,31.9781
1969-05,,,,,,,99.82584,99.72249,32.12309
1969-06,,,,,,,99.98423,99.9594,32.26961
1969-07,,,,,,,100.1248,100.1696,32.41757
1969-08,,,,,,,100.2382,100.3392,32.56691
1969-09,,,,,,,100.3155,100.4548,32.71754
1969-10,,,,,,,100.3616,100.5238,32.86938
1969-11,,,,,,,100.3911,100.5679,33.02235
1969-12,,,,,,,100.4267,100.6211,33.17638
1970-01,,,,,,,100.4978,100.7275,33.33138
1970-02,,,,,,,100.6302,100.9256,33.48727
1970-03,,,,,,,100.8321,101.2275,33.64399
1970-04,,,,,,,101.0754,101.5914,33.80143
1970-05,,,,,,,101.3143,101.9487,33.95954
1970-06,,,,,,,101.4995,102.2258,34.11821
1970-07,,,,,,,101.5939,102.3668,34.2774
1970-08,,,,,,,101.5665,102.326,34.43701
1970-09,,,,,,,101.3946,102.0688,34.597
1970-10,,,,,,,101.0726,101.5872,34.75729
1970-11,,,,,,,100.6184,100.9079,34.91785
1970-12,,,,,,,100.089,100.116,35.07861
1971-01,,,,,,,99.60458,99.39156,35.23955
1971-02,,,,,,,99.28773,98.91767,35.40061
1971-03,,,,,,,99.20248,98.79015,35.56175
1971-04,,,,,,,99.28188,98.90891,35.7229
1971-05,,,,,,,99.40772,99.09713,35.88401
1971-06,,,,,,,99.47536,99.1983,36.04501
1971-07,,,,,,,99.45538,99.16841,36.20581
1971-08,,,,,,,99.36756,99.03706,36.36636
1971-09,,,,,,,99.26056,98.87702,36.52659
1971-10,,,,,,,99.1964,98.78105,36.68641
1971-11,,,,,,,99.22762,98.82777,36.84575
1971-12,,,,,,,99.37206,99.04378,37.00452
1972-01,,,,,,,99.58015,99.35502,37.16264
1972-02,,,,,,,99.78053,99.65471,37.31999
1972-03,,,,,,,99.92048,99.86404,37.47648
1972-04,,,,,,,100.0072,99.99378,37.63201
1972-05,,,,,,,100.0776,100.0991,37.78648
1972-06,,,,,,,100.1715,100.2394,37.93978
1972-07,,,,,,,100.3061,100.4409,38.09182
1972-08,,,,,,,100.4844,100.7075,38.24247
1972-09,,,,,,,100.6997,101.0295,38.39165
1972-10,,,,,,,100.9377,101.3854,38.53925
1972-11,,,,,,,101.1751,101.7406,38.68515
1972-12,,,,,,,101.3773,102.0429,38.82927
1973-01,,,,,,,101.4949,102.2189,38.97149
1973-02,,,,,,,101.4904,102.2121,39.11173
1973-03,,,,,,,101.3688,102.0303,39.2499
1973-04,,,,,,,101.2176,101.8041,39.38594
1973-05,,,,,,,101.1461,101.6971,39.51976
