country,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,100.9226,101.3073,17.60744
1960-03,,,,,,,100.7648,101.0518,17.69517
1960-04,,,,,,,100.6103,100.8017,17.78335
1960-05,,,,,,,100.4639,100.5646,17.87197
1960-06,,,,,,,100.3303,100.3482,17.96104
1960-07,,,,,,,100.2123,100.1572,18.05057
1960-08,,,,,,,100.1119,99.9947,18.14057
1960-09,,,,,,,100.0306,99.86295,18.23104
1960-10,,,,,,,99.96758,99.76098,18.32199
1960-11,,,,,,,99.92192,99.68706,18.41344
1960-12,,,,,,,99.89219,99.63892,18.50539
1961-01,,,,,,,99.87538,99.6117,18.59784
1961-02,,,,,,,99.86857,99.60068,18.69081
1961-03,,,,,,,99.86946,99.60212,18.7843
1961-04,,,,,,,99.87617,99.61298,18.87832
1961-05,,,,,,,99.8876,99.63148,18.97288
1961-06,,,,,,,99.90331,99.65694,19.06797
1961-07,,,,,,,99.92293,99.68869,19.16361
1961-08,,,,,,,99.9463,99.72654,19.2598
1961-09,,,,,,,99.97343,99.77046,19.35654
1961-10,,,,,,,100.0038,99.81963,19.45384
1961-11,,,,,,,100.0367,99.87287,19.5517
1961-12,,,,,,,100.071,99.92849,19.65013
1962-01,,,,,,,100.105,99.98354,19.74912
1962-02,,,,,,,100.1367,100.0348,19.84869
1962-03,,,,,,,100.1642,100.0793,19.94883
1962-04,,,,,,,100.1864,100.1152,20.04954
1962-05,,,,,,,100.2026,100.1414,20.15084
1962-06,,,,,,,100.2122,100.1571,20.25272
1962-07,,,,,,,100.2153,100.162,20.35519
1962-08,,,,,,,100.2119,100.1565,20.45825
1962-09,,,,,,,100.2021,100.1408,20.5619
1962-10,,,,,,,100.1867,100.1158,20.66616
1962-11,,,,,,,100.1663,100.0827,20.77102
1962-12,,,,,,,100.1418,100.0431,20.87649
1963-01,,,,,,,100.1148,99.99934,20.98257
1963-02,,,,,,,100.0868,99.95406,21.08928
1963-03,,,,,,,100.0593,99.90942,21.19661
1963-04,,,,,,,100.0329,99.86668,21.30458
1963-05,,,,,,,100.0081,99.82658,21.41318
1963-06,,,,,,,99.98524,99.7896,21.52242
1963-07,,,,,,,99.96424,99.75558,21.63231
1963-08,,,,,,,99.94505,99.72452,21.74286
1963-09,,,,,,,99.92786,99.69667,21.85406
1963-10,,,,,,,99.9129,99.67245,21.96591
1963-11,,,,,,,99.90089,99.65302,22.07843
1963-12,,,,,,,99.89316,99.6405,22.19162
1964-01,,,,,,,99.89138,99.63761,22.30548
1964-02,,,,,,,99.89772,99.64787,22.42
1964-03,,,,,,,99.91436,99.67482,22.53519
1964-04,,,,,,,99.94238,99.72019,22.65106
1964-05,,,,,,,99.98276,99.78557,22.7676
1964-06,,,,,,,100.0364,99.87243,22.8848
1964-07,,,,,,,100.1032,99.98062,23.00268
1964-08,,,,,,,100.183,100.1098,23.12122
1964-09,,,,,,,100.2751,100.2589,23.24043
1964-10,,,,,,,100.3773,100.4244,23.3603
1964-11,,,,,,,100.4863,100.6009,23.48084
1964-12,,,,,,,100.5972,100.7804,23.60203
1965-01,,,,,,,100.7026,100.9511,23.72389
1965-02,,,,,,,100.7943,101.0996,23.84641
1965-03,,,,,,,100.8645,101.2133,23.96959
1965-04,,,,,,,100.9089,101.2851,24.09345
1965-05,,,,,,,100.9243,101.31,24.21798
1965-06,,,,,,,100.9082,101.2841,24.34321
1965-07,,,,,,,100.8609,101.2075,24.46913
1965-08,,,,,,,100.7828,101.081,24.59577
1965-09,,,,,,,100.6748,100.9061,24.72315
1965-10,,,,,,,100.5404,100.6884,24.85128
1965-11,,,,,,,100.384,100.4352,24.98019
1965-12,,,,,,,100.2118,100.1563,25.10989
1966-01,,,,,,,100.0331,99.867,25.24043
1966-02,,,,,,,99.85806,99.58366,25.37181
1966-03,,,,,,,99.69563,99.32065,25.50408
1966-04,,,,,,,99.55096,99.08643,25.63724
1966-05,,,,,,,99.42754,98.88658,25.77134
1966-06,,,,,,,99.32752,98.72464,25.90639
1966-07,,,,,,,99.25075,98.60033,26.04241
1966-08,,,,,,,99.19688,98.51311,26.17943
1966-09,,,,,,,99.16573,98.46268,26.31745
1966-10,,,,,,,99.15594,98.44683,26.4565
1966-11,,,,,,,99.16667,98.4642,26.59659
1966-12,,,,,,,99.19772,98.51447,26.73772
1967-01,,,,,,,99.24792,98.59576,26.8799
1967-02,,,,,,,99.31682,98.70731,27.02314
1967-03,,,,,,,99.4047,98.8496,27.16742
1967-04,,,,,,,99.51109,99.02186,27.31275
1967-05,,,,,,,99.6362,99.22444,27.45912
1967-06,,,,,,,99.78086,99.45867,27.60653
1967-07,,,,,,,99.94475,99.72403,27.75496
1967-08,,,,,,,100.1275,100.0199,27.90439
1967-09,,,,,,,100.3281,100.3447,28.05483
1967-10,,,,,,,100.5427,100.6921,28.20625
1967-11,,,,,,,100.7651,101.0523,28.35865
1967-12,,,,,,,100.9861,101.4102,28.512
1968-01,,,,,,,101.192,101.7435,28.66631
1968-02,,,,,,,101.3666,102.0262,28.82155
1968-03,,,,,,,101.4951,102.2342,28.97774
1968-04,,,,,,,101.5689,102.3538,29.13486
1968-05,,,,,,,101.5818,102.3746,29.29293
1968-06,,,,,,,101.5287,102.2886,29.45196
1968-07,,,,,,,101.4093,102.0954,29.61195
1968-08,,,,,,,101.224,101.7953,29.77294
1968-09,,,,,,,100.9735,101.3897,29.93494
1968-10,,,,,,,100.664,100.8887,30.09799
1968-11,,,,,,,100.3047,100.3068,30.26213
1968-12,,,,,,,99.90847,99.66528,30.42739
1969-01,,,,,,,99.4976,99.00002,30.59382
1969-02,,,,,,,99.09862,98.35401,30.76145
1969-03,,,,,,,98.73907,97.77184,30.93032
1969-04,,,,,,,98.44366,97.29355,31.10047
1969-05,,,,,,,98.23394,96.95396,31.27192
1969-06,,,,,,,98.12344,96.77505,31.44471
1969-07,,,,,,,98.10686,96.7482,31.61884
1969-08,,,,,,,98.17222,96.85404,31.79434
1969-09,,,,,,,98.30582,97.07034,31.97119
1969-10,,,,,,,98.49095,97.37011,32.14938
1969-11,,,,,,,98.71203,97.72807,32.32891
1969-12,,,,,,,98.95458,98.1208,32.50976
1970-01,,,,,,,99.20244,98.52211,32.69188
1970-02,,,,,,,99.43807,98.90363,32.87526
1970-03,,,,,,,99.64222,99.23418,33.05984
1970-04,,,,,,,99.79408,99.48006,33.24559
1970-05,,,,,,,99.8758,99.61239,33.43246
1970-06,,,,,,,99.88049,99.61997,33.62041
1970-07,,,,,,,99.82463,99.52953,33.80939
1970-08,,,,,,,99.73246,99.38029,33.99934
1970-09,,,,,,,99.62449,99.20548,34.19021
1970-10,,,,,,,99.50886,99.01826,34.38195
1970-11,,,,,,,99.39041,98.82646,34.57449
1970-12,,,,,,,99.28011,98.64788,34.76779
1971-01,,,,,,,99.20456,98.52555,34.96175
1971-02,,,,,,,99.18913,98.50057,35.15633
1971-03,,,,,,,99.239,98.58131,35.35143
1971-04,,,,,,,99.33273,98.73308,35.54697
1971-05,,,,,,,99.43466,98.89812,35.74286
1971-06,,,,,,,99.52057,99.03722,35.93899
1971-07,,,,,,,99.58889,99.14784,36.13527
1971-08,,,,,,,99.65276,99.25125,36.3316
1971-09,,,,,,,99.71968,99.3596,36.52786
1971-10,,,,,,,99.77149,99.4435,36.72393
1971-11,,,,,,,99.78573,99.46655,36.91971
1971-12,,,,,,,99.7578,99.42134,37.11506
1972-01,,,,,,,99.71034,99.34448,37.30985
1972-02,,,,,,,99.68612,99.30527,37.50397
1972-03,,,,,,,99.72771,99.3726,37.69727
1972-04,,,,,,,99.85577,99.57996,37.88963
1972-05,,,,,,,100.0721,99.93015,38.0809
1972-06,,,,,,,100.3558,100.3896,38.27093
1972-07,,,,,,,100.6661,100.8919,38.45957
1972-08,,,,,,,100.9582,101.3649,38.64667
1972-09,,,,,,,101.2108,101.7739,38.83207
1972-10,,,,,,,101.4368,102.1398,39.01563
1972-11,,,,,,,101.6697,102.5171,39.19721
1972-12,,,,,,,101.9347,102.946,39.37667
1973-01,,,,,,,102.2331,103.4293,39.55386
1973-02,,,,,,,102.5481,103.9392,39.72868
1973-03,,,,,,,102.8615,104.4467,39.90099
1973-04,,,,,,,103.1708,104.9475,40.07069
1973-05,,,,,,,103.4792,105.4468,40.23769
