country,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,101.1348,101.7112,1.690634
1960-03,,,,,,,101.2915,101.9445,1.69991
1960-04,,,,,,,101.4012,102.1079,1.709237
1960-05,,,,,,,101.4043,102.1125,1.718616
1960-06,,,,,,,101.2664,101.9072,1.728047
1960-07,,,,,,,101.023,101.5446,1.737532
1960-08,,,,,,,100.7427,101.1272,1.747073
1960-09,,,,,,,100.4996,100.7652,1.756671
1960-10,,,,,,,100.3477,100.5389,1.76633
1960-11,,,,,,,100.3225,100.5014,1.77605
1960-12,,,,,,,100.4356,100.6699,1.785835
1961-01,,,,,,,100.6599,101.0038,1.795687
1961-02,,,,,,,100.9449,101.4284,1.805608
1961-03,,,,,,,101.2253,101.8459,1.8156
1961-04,,,,,,,101.4225,102.1396,1.825667
1961-05,,,,,,,101.4691,102.209,1.835811
1961-06,,,,,,,101.3372,102.0126,1.846037
1961-07,,,,,,,101.0772,101.6253,1.856347
1961-08,,,,,,,100.7683,101.1654,1.866747
1961-09,,,,,,,100.4792,100.7348,1.877242
1961-10,,,,,,,100.2327,100.3677,1.887836
1961-11,,,,,,,100.0212,100.0527,1.898534
1961-12,,,,,,,99.81831,99.75055,1.909343
1962-01,,,,,,,99.58779,99.40723,1.920267
1962-02,,,,,,,99.30244,98.98227,1.931311
1962-03,,,,,,,98.96471,98.47932,1.942481
1962-04,,,,,,,98.6301,97.98099,1.953783
1962-05,,,,,,,98.37316,97.59834,1.965222
1962-06,,,,,,,98.25465,97.42183,1.976804
1962-07,,,,,,,98.28392,97.46543,1.988534
1962-08,,,,,,,98.44622,97.70713,2.000416
1962-09,,,,,,,98.71764,98.11135,2.012454
1962-10,,,,,,,99.06982,98.63584,2.024653
1962-11,,,,,,,99.46666,99.22684,2.037016
1962-12,,,,,,,99.85462,99.80463,2.049546
1963-01,,,,,,,100.1492,100.2433,2.062248
1963-02,,,,,,,100.2706,100.4241,2.075125
1963-03,,,,,,,100.1862,100.2985,2.08818
1963-04,,,,,,,99.96297,99.96598,2.101418
1963-05,,,,,,,99.70311,99.57899,2.114843
1963-06,,,,,,,99.49047,99.2623,2.128459
1963-07,,,,,,,99.34039,99.03879,2.142271
1963-08,,,,,,,99.23755,98.88564,2.156283
1963-09,,,,,,,99.16761,98.78148,2.1705
1963-10,,,,,,,99.14433,98.74682,2.184924
1963-11,,,,,,,99.18473,98.80698,2.19956
1963-12,,,,,,,99.28077,98.95,2.214412
1964-01,,,,,,,99.36591,99.07679,2.229484
1964-02,,,,,,,99.3698,99.0826,2.244778
1964-03,,,,,,,99.27251,98.93771,2.260298
1964-04,,,,,,,99.16206,98.77322,2.276047
1964-05,,,,,,,99.16195,98.77305,2.29203
1964-06,,,,,,,99.36036,99.06853,2.30825
1964-07,,,,,,,99.73119,99.6208,2.324709
1964-08,,,,,,,100.1917,100.3066,2.34141
1964-09,,,,,,,100.6448,100.9813,2.358356
1964-10,,,,,,,101.0144,101.5319,2.375549
1964-11,,,,,,,101.244,101.8738,2.392992
1964-12,,,,,,,101.2997,101.9568,2.410688
1965-01,,,,,,,101.183,101.7829,2.428641
1965-02,,,,,,,100.9112,101.3781,2.446856
1965-03,,,,,,,100.5101,100.7808,2.465337
1965-04,,,,,,,100.0168,100.0462,2.484089
1965-05,,,,,,,99.47453,99.23857,2.503118
1965-06,,,,,,,98.93435,98.43409,2.522429
1965-07,,,,,,,98.46052,97.72842,2.542029
1965-08,,,,,,,98.11996,97.22124,2.561922
1965-09,,,,,,,97.96827,96.99534,2.582113
1965-10,,,,,,,98.02674,97.08241,2.602607
1965-11,,,,,,,98.29385,97.48021,2.623409
1965-12,,,,,,,98.73978,98.14433,2.64452
1966-01,,,,,,,99.30662,98.98849,2.665944
1966-02,,,,,,,99.90925,99.88597,2.687683
1966-03,,,,,,,100.449,100.6897,2.709739
1966-04,,,,,,,100.8244,101.2489,2.732113
1966-05,,,,,,,100.954,101.4419,2.754809
1966-06,,,,,,,100.8097,101.2269,2.777827
1966-07,,,,,,,100.4637,100.7117,2.801173
1966-08,,,,,,,100.0283,100.0632,2.824848
1966-09,,,,,,,99.60876,99.43847,2.848859
1966-10,,,,,,,99.26604,98.92806,2.873207
1966-11,,,,,,,99.02858,98.57442,2.897897
1966-12,,,,,,,98.89861,98.38087,2.922933
1967-01,,,,,,,98.84981,98.30819,2.948316
1967-02,,,,,,,98.84875,98.30662,2.97405
1967-03,,,,,,,98.86955,98.33759,3.000136
1967-04,,,,,,,98.90437,98.38943,3.026577
1967-05,,,,,,,98.95335,98.46239,3.053374
1967-06,,,,,,,99.01327,98.55162,3.080527
1967-07,,,,,,,99.06448,98.6279,3.108038
1967-08,,,,,,,99.08974,98.6655,3.135906
1967-09,,,,,,,99.09248,98.6696,3.164132
1967-10,,,,,,,99.11614,98.70483,3.192713
1967-11,,,,,,,99.21176,98.84723,3.221651
1967-12,,,,,,,99.40424,99.13389,3.250943
1968-01,,,,,,,99.65271,99.50392,3.280586
1968-02,,,,,,,99.89276,99.86142,3.310579
1968-03,,,,,,,100.0734,100.1304,3.340918
1968-04,,,,,,,100.1935,100.3092,3.3716
1968-05,,,,,,,100.2689,100.4216,3.402622
1968-06,,,,,,,100.3034,100.473,3.43398
1968-07,,,,,,,100.262,100.4114,3.465672
1968-08,,,,,,,100.1067,100.18,3.497692
1968-09,,,,,,,99.83546,99.77608,3.530038
1968-10,,,,,,,99.52819,99.31848,3.562705
1968-11,,,,,,,99.29215,98.96695,3.595691
1968-12,,,,,,,99.21269,98.84862,3.628992
1969-01,,,,,,,99.30033,98.97913,3.662602
1969-02,,,,,,,99.53384,99.3269,3.696515
1969-03,,,,,,,99.88884,99.85558,3.730726
1969-04,,,,,,,100.3547,100.5494,3.765226
1969-05,,,,,,,100.9198,101.3909,3.800009
1969-06,,,,,,,101.5472,102.3253,3.835068
1969-07,,,,,,,102.1421,103.2112,3.870395
1969-08,,,,,,,102.5898,103.878,3.905981
1969-09,,,,,,,102.7974,104.1873,3.941821
1969-10,,,,,,,102.7451,104.1093,3.977908
1969-11,,,,,,,102.4601,103.6848,4.014239
1969-12,,,,,,,102.0077,103.0112,4.05081
1970-01,,,,,,,101.4965,102.2499,4.087619
1970-02,,,,,,,101.0351,101.5627,4.124666
1970-03,,,,,,,100.6964,101.0583,4.161949
1970-04,,,,,,,100.4807,100.737,4.199469
1970-05,,,,,,,100.3622,100.5606,4.237225
1970-06,,,,,,,100.3253,100.5056,4.275216
1970-07,,,,,,,100.3915,100.6041,4.313444
1970-08,,,,,,,100.5894,100.8989,4.351907
1970-09,,,,,,,100.9171,101.3869,4.390606
1970-10,,,,,,,101.2931,101.947,4.429543
1970-11,,,,,,,101.6124,102.4224,4.468716
1970-12,,,,,,,101.7964,102.6965,4.508128
1971-01,,,,,,,101.8486,102.7742,4.547781
1971-02,,,,,,,101.8071,102.7124,4.587677
1971-03,,,,,,,101.707,102.5634,4.627824
1971-04,,,,,,,101.5489,102.3279,4.668226
1971-05,,,,,,,101.3165,101.9818,4.70889
1971-06,,,,,,,100.9979,101.5073,4.749824
1971-07,,,,,,,100.6116,100.9319,4.791036
1971-08,,,,,,,100.1892,100.3029,4.832536
1971-09,,,,,,,99.76403,99.66971,4.874335
1971-10,,,,,,,99.36234,99.07148,4.916444
1971-11,,,,,,,99.00484,98.53906,4.958874
1971-12,,,,,,,98.70643,98.09465,5.001635
1972-01,,,,,,,98.47312,97.74719,5.044738
1972-02,,,,,,,98.30563,97.49775,5.088194
1972-03,,,,,,,98.19817,97.33773,5.132011
1972-04,,,,,,,98.13253,97.23997,5.176199
1972-05,,,,,,,98.09139,97.1787,5.220765
1972-06,,,,,,,98.06836,97.14439,5.265716
1972-07,,,,,,,98.07566,97.15527,5.311058
1972-08,,,,,,,98.13138,97.23825,5.356797
1972-09,,,,,,,98.24434,97.40647,5.402936
1972-10,,,,,,,98.41014,97.6534,5.449479
1972-11,,,,,,,98.61388,97.95683,5.496426
1972-12,,,,,,,98.84305,98.29812,5.543778
1973-01,,,,,,,99.09701,98.67633,5.591537
1973-02,,,,,,,99.38201,99.10078,5.639699
1973-03,,,,,,,99.70383,99.58005,5.688264
1973-04,,,,,,,100.0574,100.1066,5.737229
1973-05,,,,,,,100.429,100.66,5.786591
