country,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,101.1594,101.7103,1.690649
1960-03,,,,,,,101.3195,101.9436,1.699924
1960-04,,,,,,,101.4317,102.1071,1.709251
1960-05,,,,,,,101.4349,102.1117,1.718629
1960-06,,,,,,,101.294,101.9065,1.728059
1960-07,,,,,,,101.0453,101.5439,1.737544
1960-08,,,,,,,100.7589,101.1266,1.747084
1960-09,,,,,,,100.5105,100.7646,1.756682
1960-10,,,,,,,100.3553,100.5384,1.766339
1960-11,,,,,,,100.3296,100.5009,1.776059
1960-12,,,,,,,100.4453,100.6694,1.785843
1961-01,,,,,,,100.6744,101.0034,1.795695
1961-02,,,,,,,100.9657,101.428,1.805615
1961-03,,,,,,,101.2522,101.8455,1.815607
1961-04,,,,,,,101.4538,102.1393,1.825673
1961-05,,,,,,,101.5014,102.2087,1.835816
1961-06,,,,,,,101.3667,102.0124,1.846041
1961-07,,,,,,,101.101,101.6251,1.856351
1961-08,,,,,,,100.7854,101.1652,1.86675
1961-09,,,,,,,100.4901,100.7347,1.877244
1961-10,,,,,,,100.2382,100.3676,1.887837
1961-11,,,,,,,100.0221,100.0526,1.898535
1961-12,,,,,,,99.81481,99.75057,1.909342
1962-01,,,,,,,99.57929,99.40731,1.920265
1962-02,,,,,,,99.28774,98.98239,1.931309
1962-03,,,,,,,98.94269,98.47948,1.942478
1962-04,,,,,,,98.60081,97.98121,1.953779
1962-05,,,,,,,98.33829,97.5986,1.965217
1962-06,,,,,,,98.21723,97.42215,1.976798
1962-07,,,,,,,98.24718,97.46581,1.988526
1962-08,,,,,,,98.41306,97.70757,2.000407
1962-09,,,,,,,98.69044,98.11185,2.012444
1962-10,,,,,,,99.05035,98.6364,2.024641
1962-11,,,,,,,99.45589,99.22747,2.037003
1962-12,,,,,,,99.85237,99.80532,2.049532
1963-01,,,,,,,100.1534,100.244,2.062233
1963-02,,,,,,,100.2775,100.4249,2.075108
1963-03,,,,,,,100.1914,100.2994,2.088161
1963-04,,,,,,,99.96327,99.96695,2.101398
1963-05,,,,,,,99.69779,99.58002,2.11482
1963-06,,,,,,,99.48056,99.26341,2.128435
1963-07,,,,,,,99.32726,99.03998,2.142246
1963-08,,,,,,,99.22223,98.8869,2.156256
1963-09,,,,,,,99.15082,98.78283,2.17047
1963-10,,,,,,,99.12709,98.74825,2.184892
1963-11,,,,,,,99.16843,98.80849,2.199526
1963-12,,,,,,,99.26662,98.95161,2.214376
1964-01,,,,,,,99.35368,99.0785,2.229445
1964-02,,,,,,,99.35774,99.08441,2.244737
1964-03,,,,,,,99.25839,98.93961,2.260255
1964-04,,,,,,,99.1456,98.77522,2.276002
1964-05,,,,,,,99.14555,98.77515,2.291982
1964-06,,,,,,,99.34836,99.07073,2.308199
1964-07,,,,,,,99.72734,99.62309,2.324656
1964-08,,,,,,,100.1979,100.309,2.341354
1964-09,,,,,,,100.6609,100.9838,2.358297
1964-10,,,,,,,101.0386,101.5343,2.375487
1964-11,,,,,,,101.2732,101.8761,2.392927
1964-12,,,,,,,101.3301,101.959,2.41062
1965-01,,,,,,,101.2107,101.7851,2.42857
1965-02,,,,,,,100.9331,101.3804,2.446782
1965-03,,,,,,,100.5234,100.7834,2.46526
1965-04,,,,,,,100.0199,100.0495,2.484009
1965-05,,,,,,,99.46673,99.24326,2.503035
1965-06,,,,,,,98.91632,98.44106,2.522343
1965-07,,,,,,,98.4344,97.73867,2.541939
1965-08,,,,,,,98.08927,97.23566,2.561829
1965-09,,,,,,,97.93733,97.01421,2.582017
1965-10,,,,,,,97.99941,97.10469,2.602509
1965-11,,,,,,,98.27227,97.50238,2.623307
1965-12,,,,,,,98.72276,98.15895,2.644415
1966-01,,,,,,,99.29319,98.99033,2.665836
1966-02,,,,,,,99.8976,99.87123,2.687572
1966-03,,,,,,,100.4363,100.6564,2.709626
1966-04,,,,,,,100.808,101.1982,2.731998
1966-05,,,,,,,100.9337,101.3813,2.754691
1966-06,,,,,,,100.7912,101.1737,2.777708
1966-07,,,,,,,100.4476,100.6728,2.801052
1966-08,,,,,,,100.0128,100.0392,2.824726
1966-09,,,,,,,99.59262,99.42673,2.848736
1966-10,,,,,,,99.24843,98.92509,2.873083
1966-11,,,,,,,99.00954,98.57692,2.897773
1966-12,,,,,,,98.87872,98.38626,2.922808
1967-01,,,,,,,98.82964,98.3147,2.948192
1967-02,,,,,,,98.82861,98.31322,2.973926
1967-03,,,,,,,98.84956,98.34375,3.000012
1967-04,,,,,,,98.8847,98.39497,3.026453
1967-05,,,,,,,98.93434,98.46732,3.053251
1967-06,,,,,,,98.99522,98.55605,3.080405
1967-07,,,,,,,99.04731,98.63197,3.107916
1967-08,,,,,,,99.07295,98.66933,3.135785
1967-09,,,,,,,99.07565,98.67328,3.164011
1967-10,,,,,,,99.09976,98.70842,3.192594
1967-11,,,,,,,99.19743,98.85077,3.221532
1967-12,,,,,,,99.3941,99.13741,3.250825
1968-01,,,,,,,99.64797,99.50742,3.280469
1968-02,,,,,,,99.89325,99.8649,3.310463
1968-03,,,,,,,100.0778,100.1339,3.340802
1968-04,,,,,,,100.2005,100.3127,3.371485
1968-05,,,,,,,100.2775,100.425,3.402507
1968-06,,,,,,,100.3128,100.4763,3.433866
1968-07,,,,,,,100.2705,100.4147,3.465558
1968-08,,,,,,,100.1117,100.1832,3.497578
1968-09,,,,,,,99.83452,99.77929,3.529924
1968-10,,,,,,,99.52052,99.32165,3.562592
1968-11,,,,,,,99.2793,98.97008,3.595578
1968-12,,,,,,,99.19809,98.85172,3.628878
1969-01,,,,,,,99.28763,98.98222,3.662488
1969-02,,,,,,,99.52624,99.32999,3.6964
1969-03,,,,,,,99.88899,99.85869,3.730609
1969-04,,,,,,,100.3651,100.5525,3.765109
1969-05,,,,,,,100.9425,101.3941,3.799891
1969-06,,,,,,,101.5836,102.3286,3.834948
1969-07,,,,,,,102.1915,103.2145,3.870273
1969-08,,,,,,,102.649,103.8813,3.905857
1969-09,,,,,,,102.8612,104.1906,3.941695
1969-10,,,,,,,102.8077,104.1126,3.97778
1969-11,,,,,,,102.5165,103.6882,4.014107
1969-12,,,,,,,102.0543,103.0146,4.050675
1970-01,,,,,,,101.532,102.2533,4.087481
1970-02,,,,,,,101.0605,101.5661,4.124525
1970-03,,,,,,,100.7145,101.0618,4.161804
1970-04,,,,,,,100.494,100.7405,4.19932
1970-05,,,,,,,100.3731,100.5642,4.237072
1970-06,,,,,,,100.3354,100.5093,4.275059
1970-07,,,,,,,100.4031,100.6079,4.313281
1970-08,,,,,,,100.6054,100.9028,4.351739
1970-09,,,,,,,100.9403,101.3909,4.390434
1970-10,,,,,,,101.3246,101.951,4.429365
1970-11,,,,,,,101.6508,102.4265,4.468533
1970-12,,,,,,,101.839,102.7008,4.507939
1971-01,,,,,,,101.8924,102.7785,4.547585
1971-02,,,,,,,101.85,102.7168,4.587476
1971-03,,,,,,,101.7478,102.5679,4.627617
1971-04,,,,,,,101.5863,102.3325,4.668013
1971-05,,,,,,,101.3489,101.9865,4.70867
1971-06,,,,,,,101.0236,101.5123,4.749598
1971-07,,,,,,,100.629,100.9373,4.790803
1971-08,,,,,,,100.1978,100.3087,4.832297
1971-09,,,,,,,99.76372,99.6761,4.874091
1971-10,,,,,,,99.35366,99.07847,4.916193
1971-11,,,,,,,98.98866,98.54649,4.958617
1971-12,,,,,,,98.68372,98.10206,5.001372
1972-01,,,,,,,98.44467,97.75365,5.04447
1972-02,,,,,,,98.2718,97.50169,5.08792
1972-03,,,,,,,98.15871,97.33688,5.131732
1972-04,,,,,,,98.08635,97.2314,5.175916
1972-05,,,,,,,98.0369,97.15932,5.220478
1972-06,,,,,,,98.00436,97.11191,5.265425
1972-07,,,,,,,98.00301,97.10994,5.310765
1972-08,,,,,,,98.05493,97.18561,5.356501
1972-09,,,,,,,98.17527,97.361,5.402639
1972-10,,,,,,,98.35345,97.62069,5.449181
1972-11,,,,,,,98.57063,97.93721,5.496129
1972-12,,,,,,,98.81223,98.28934,5.543482
1973-01,,,,,,,99.07705,98.67531,5.591241
1973-02,,,,,,,99.3716,99.10461,5.639406
1973-03,,,,,,,99.70217,99.58641,5.687973
1973-04,,,,,,,100.0641,100.1139,5.736941
1973-05,,,,,,,100.4438,100.6673,5.786307
