country,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR
subject,BSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,
unit,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,
time,,,,,,,,
1960-02,,,,,,99.32276,99.37755,17.55608
1960-03,,,,,,99.25876,99.32044,17.6197
1960-04,,,,,,99.20395,99.27153,17.68355
1960-05,,,,,,99.17263,99.24359,17.74763
1960-06,,,,,,99.17965,99.24986,17.81194
1960-07,,,,,,99.23396,99.29832,17.87647
1960-08,,,,,,99.34184,99.39457,17.94122
1960-09,,,,,,99.50645,99.54145,18.00619
1960-10,,,,,,99.7235,99.73513,18.07137
1960-11,,,,,,99.98482,99.96829,18.13675
1960-12,,,,,,100.2779,100.2298,18.20233
1961-01,,,,,,100.5821,100.5012,18.26809
1961-02,,,,,,100.8744,100.762,18.33404
1961-03,,,,,,101.1341,100.9938,18.40016
1961-04,,,,,,101.3486,101.1852,18.46644
1961-05,,,,,,101.5089,101.3283,18.53289
1961-06,,,,,,101.609,101.4176,18.5995
1961-07,,,,,,101.6484,101.4527,18.66627
1961-08,,,,,,101.6277,101.4342,18.7332
1961-09,,,,,,101.5481,101.3632,18.8003
1961-10,,,,,,101.4155,101.2449,18.86756
1961-11,,,,,,101.237,101.0856,18.935
1961-12,,,,,,101.0216,100.8935,19.00263
1962-01,,,,,,100.784,100.6814,19.07045
1962-02,,,,,,100.5396,100.4633,19.13848
1962-03,,,,,,100.3014,100.2508,19.20674
1962-04,,,,,,100.0779,100.0514,19.27523
1962-05,,,,,,99.8746,99.86995,19.34398
1962-06,,,,,,99.69476,99.70949,19.41298
1962-07,,,,,,99.53881,99.57033,19.48228
1962-08,,,,,,99.40647,99.45224,19.55187
1962-09,,,,,,99.29727,99.3548,19.62177
1962-10,,,,,,99.20926,99.27627,19.69199
1962-11,,,,,,99.14058,99.21499,19.76256
1962-12,,,,,,99.08947,99.16939,19.83347
1963-01,,,,,,99.05271,99.13658,19.90474
1963-02,,,,,,99.02732,99.11393,19.97639
1963-03,,,,,,99.01107,99.09943,20.04841
1963-04,,,,,,99.00202,99.09135,20.12082
1963-05,,,,,,98.99905,99.0887,20.19362
1963-06,,,,,,99.00171,99.09107,20.26682
1963-07,,,,,,99.00952,99.09805,20.34043
1963-08,,,,,,99.02242,99.10955,20.41443
1963-09,,,,,,99.04064,99.12582,20.48884
1963-10,,,,,,99.06419,99.14683,20.56366
1963-11,,,,,,99.09335,99.17285,20.63887
1963-12,,,,,,99.12877,99.20445,20.71449
1964-01,,,,,,99.17085,99.242,20.79049
1964-02,,,,,,99.22031,99.28613,20.86689
1964-03,,,,,,99.27811,99.33771,20.94367
1964-04,,,,,,99.34458,99.39702,21.02081
1964-05,,,,,,99.42022,99.46451,21.09833
1964-06,,,,,,99.50571,99.54079,21.17619
1964-07,,,,,,99.60104,99.62585,21.25439
1964-08,,,,,,99.70612,99.71961,21.33291
1964-09,,,,,,99.8205,99.82169,21.41175
1964-10,,,,,,99.94231,99.93037,21.49089
1964-11,,,,,,100.0685,100.0429,21.57031
1964-12,,,,,,100.1943,100.1552,21.65
1965-01,,,,,,100.313,100.2611,21.72994
1965-02,,,,,,100.4163,100.3533,21.81012
1965-03,,,,,,100.4967,100.4251,21.89052
1965-04,,,,,,100.5499,100.4726,21.97112
1965-05,,,,,,100.5726,100.4928,22.05192
1965-06,,,,,,100.562,100.4833,22.13289
1965-07,,,,,,100.5182,100.4443,22.21403
1965-08,,,,,,100.4417,100.376,22.29532
1965-09,,,,,,100.3336,100.2796,22.37675
1965-10,,,,,,100.1988,100.1593,22.45831
1965-11,,,,,,100.0441,100.0212,22.53999
1965-12,,,,,,99.87922,99.87408,22.62177
1966-01,,,,,,99.7188,99.73093,22.70366
1966-02,,,,,,99.57942,99.60657,22.78562
1966-03,,,,,,99.47615,99.51442,22.86766
1966-04,,,,,,99.41788,99.46243,22.94975
1966-05,,,,,,99.41119,99.45645,23.0319
1966-06,,,,,,99.46103,99.50092,23.11407
1966-07,,,,,,99.56765,99.59606,23.19626
1966-08,,,,,,99.73051,99.74138,23.27844
1966-09,,,,,,99.94801,99.93546,23.3606
1966-10,,,,,,100.2132,100.1721,23.44273
1966-11,,,,,,100.5162,100.4425,23.52479
1966-12,,,,,,100.8434,100.7344,23.60677
1967-01,,,,,,101.1733,101.0288,23.68865
1967-02,,,,,,101.482,101.3042,23.77041
1967-03,,,,,,101.7478,101.5414,23.85204
1967-04,,,,,,101.9576,101.7286,23.93352
1967-05,,,,,,102.1021,101.8575,24.01484
1967-06,,,,,,102.1744,101.922,24.09599
1967-07,,,,,,102.1742,101.9219,24.17697
1967-08,,,,,,102.1023,101.8577,24.25777
1967-09,,,,,,101.9605,101.7312,24.33839
1967-10,,,,,,101.7568,101.5494,24.41885
1967-11,,,,,,101.5017,101.3218,24.49915
1967-12,,,,,,101.2093,101.0609,24.5793
1968-01,,,,,,100.9017,100.7865,24.65932
1968-02,,,,,,100.603,100.5199,24.73922
1968-03,,,,,,100.3343,100.2802,24.81903
1968-04,,,,,,100.1087,100.0788,24.89875
1968-05,,,,,,99.93517,99.924,24.97842
1968-06,,,,,,99.81986,99.82111,25.05805
