country,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,98.38041,97.52251,15.81411
1960-03,,,,,,,98.40191,97.55103,15.93236
1960-04,,,,,,,98.42535,97.58214,16.05149
1960-05,,,,,,,98.45363,97.61967,16.1715
1960-06,,,,,,,98.48957,97.66738,16.2924
1960-07,,,,,,,98.53473,97.72731,16.41417
1960-08,,,,,,,98.59083,97.80177,16.5368
1960-09,,,,,,,98.66102,97.89492,16.66029
1960-10,,,,,,,98.75082,98.0141,16.78462
1960-11,,,,,,,98.86633,98.16741,16.90976
1960-12,,,,,,,99.01209,98.36087,17.03571
1961-01,,,,,,,99.18851,98.59502,17.16243
1961-02,,,,,,,99.3919,98.86495,17.28989
1961-03,,,,,,,99.61399,99.1597,17.41806
1961-04,,,,,,,99.84095,99.46091,17.54692
1961-05,,,,,,,100.058,99.74902,17.67641
1961-06,,,,,,,100.254,100.0091,17.8065
1961-07,,,,,,,100.4258,100.2371,17.93715
1961-08,,,,,,,100.5748,100.4348,18.06832
1961-09,,,,,,,100.7041,100.6065,18.19997
1961-10,,,,,,,100.8158,100.7547,18.33206
1961-11,,,,,,,100.9108,100.8808,18.46455
1961-12,,,,,,,100.99,100.986,18.59739
1962-01,,,,,,,101.055,101.0722,18.73054
1962-02,,,,,,,101.1075,101.1419,18.86395
1962-03,,,,,,,101.1493,101.1974,18.9976
1962-04,,,,,,,101.1821,101.2409,19.13144
1962-05,,,,,,,101.2078,101.2749,19.26542
1962-06,,,,,,,101.2284,101.3023,19.39952
1962-07,,,,,,,101.2467,101.3266,19.53368
1962-08,,,,,,,101.2672,101.3538,19.66788
1962-09,,,,,,,101.2969,101.3933,19.80208
1962-10,,,,,,,101.3468,101.4595,19.93624
1962-11,,,,,,,101.4243,101.5624,20.07034
1962-12,,,,,,,101.5266,101.6981,20.20434
1963-01,,,,,,,101.6371,101.8447,20.33821
1963-02,,,,,,,101.7332,101.9723,20.47192
1963-03,,,,,,,101.7982,102.0585,20.60544
1963-04,,,,,,,101.8278,102.0979,20.73875
1963-05,,,,,,,101.8278,102.0979,20.87182
1963-06,,,,,,,101.8061,102.0691,21.00465
1963-07,,,,,,,101.7664,102.0163,21.13722
1963-08,,,,,,,101.7089,101.9401,21.26952
1963-09,,,,,,,101.6326,101.8388,21.40154
1963-10,102.1434,,,,,,101.5361,101.7108,21.53327
1963-11,102.8146,,,,,,101.4195,101.556,21.66473
1963-12,103.08,,,,,,101.2854,101.3779,21.7959
1964-01,103.0284,,,,,,101.1404,101.1856,21.92681
1964-02,102.9065,,,,,,100.9932,100.9902,22.05744
1964-03,102.9557,,,,,,100.8511,100.8016,22.18783
1964-04,103.1778,,,,,,100.7186,100.6257,22.31798
1964-05,103.4989,,,,,,100.5982,100.4659,22.4479
1964-06,103.834,,,,,,100.4926,100.3257,22.57762
1964-07,103.9084,,,,,,100.4055,100.2102,22.70715
1964-08,103.7799,,,,,,100.3401,100.1234,22.83651
1964-09,103.6215,,,,,,100.2962,100.0651,22.96572
1964-10,103.4211,,,,,,100.2681,100.0278,23.0948
1964-11,103.2117,,,,,,100.2469,99.99969,23.22378
1964-12,103.1287,,,,,,100.2225,99.96732,23.35267
1965-01,103.0478,,,,,,100.1857,99.91851,23.48149
1965-02,103.168,,,,,,100.1303,99.84496,23.61027
1965-03,103.1643,,,,,,100.0551,99.74514,23.73904
1965-04,103.0669,,,,,,99.96648,99.62753,23.8678
1965-05,102.9082,,,,,,99.87506,99.5062,23.9966
1965-06,102.7488,,,,,,99.79254,99.39668,24.12547
1965-07,102.6215,,,,,,99.72874,99.312,24.25441
1965-08,102.6196,,,,,,99.69069,99.26149,24.38347
1965-09,102.7384,,,,,,99.68143,99.24922,24.51267
1965-10,102.877,,,,,,99.69855,99.27193,24.64202
1965-11,103.005,,,,,,99.73924,99.32594,24.77155
1965-12,103.0244,,,,,,99.8051,99.41335,24.90128
1966-01,102.9985,,,,,,99.90375,99.54427,25.03123
1966-02,102.9897,,,,,,100.0424,99.72825,25.16143
1966-03,103.014,,,,,,100.2182,99.96158,25.29188
1966-04,102.9069,,,,,,100.415,100.2228,25.42262
1966-05,102.656,,,,,,100.6067,100.4772,25.55364
1966-06,102.3659,,,,,,100.7668,100.6897,25.68497
1966-07,102.0797,,,,,,100.8737,100.8316,25.81663
1966-08,101.784,,,,,,100.9148,100.8862,25.94864
1966-09,101.4802,,,,,,100.8868,100.849,26.08101
1966-10,101.1948,,,,,,100.7966,100.7292,26.21378
1966-11,100.926,,,,,,100.657,100.544,26.34699
1966-12,100.6431,,,,,,100.4836,100.3139,26.48066
1967-01,100.3416,,,,,,100.2917,100.0592,26.61483
1967-02,99.96793,,,,,,100.0946,99.79752,26.74955
1967-03,99.57908,,,,,,99.90141,99.54116,26.88484
1967-04,99.35841,,,,,,99.71606,99.29516,27.02074
1967-05,99.1475,,,,,,99.53851,99.05953,27.1573
1967-06,98.8811,,,,,,99.36659,98.83135,27.29454
1967-07,98.58368,,,,,,99.19732,98.6067,27.4325
1967-08,98.27871,,,,,,99.03015,98.38484,27.5712
1967-09,98.07171,,,,,,98.87009,98.17241,27.71069
1967-10,97.88371,,,,,,98.73066,97.98736,27.85099
1967-11,97.6583,,,,,,98.62817,97.85133,27.99212
1967-12,97.54955,,,,,,98.57581,97.78184,28.13412
1968-01,97.57598,,,,,,98.57883,97.78584,28.27699
1968-02,97.65785,,,,,,98.6359,97.8616,28.42074
1968-03,97.7336,,,,,,98.74126,98.00141,28.56538
1968-04,97.89232,,,,,,98.88579,98.19323,28.71092
1968-05,98.15508,,,,,,99.06084,98.42558,28.85734
1968-06,98.53056,,,,,,99.26138,98.69172,29.00464
1968-07,98.89516,,,,,,99.48855,98.99322,29.1528
1968-08,99.3319,,,,,,99.74426,99.33259,29.30182
1968-09,99.90868,,,,,,100.0252,99.70547,29.45167
1968-10,100.4559,,,,,,100.3188,100.0951,29.60234
1968-11,100.9898,,,,,,100.6055,100.4757,29.7538
1968-12,101.5223,,,,,,100.8635,100.8181,29.90603
1969-01,101.9561,,,,,,101.0733,101.0965,30.059
1969-02,102.3376,,,,,,101.2212,101.2928,30.21269
1969-03,102.709,,,,,,101.3042,101.403,30.36709
1969-04,103.0127,,,,,,101.3315,101.4392,30.52219
1969-05,103.2909,,,,,,101.3194,101.4231,30.67797
1969-06,103.5255,,,,,,101.2844,101.3766,30.83443
1969-07,103.7167,,,,,,101.2359,101.3123,30.99157
1969-08,103.9341,,,,,,101.1785,101.2361,31.1494
1969-09,104.0543,,,,,,101.1133,101.1496,31.30791
1969-10,104.1147,,,,,,101.0404,101.0528,31.4671
1969-11,104.1937,,,,,,100.9578,100.9432,31.62699
1969-12,104.2784,,,,,,100.8617,100.8157,31.78758
1970-01,104.3286,,,,,,100.7457,100.6617,31.94889
1970-02,104.2641,,,,,,100.6033,100.4727,32.11092
1970-03,104.0563,,,,,,100.4316,100.2448,32.2737
1970-04,103.5795,,,,,,100.2336,99.98203,32.43723
1970-05,103.0323,,,,,,100.0163,99.6937,32.60155
1970-06,102.4146,,,,,,99.78847,99.39127,32.76667
1970-07,101.7889,,,,,,99.55843,99.08595,32.93262
1970-08,101.1119,,,,,,99.33417,98.78833,33.09941
1970-09,100.5751,,,,,,99.12286,98.50787,33.26706
1970-10,100.2097,,,,,,98.93048,98.25255,33.43558
1970-11,99.85201,,,,,,98.76236,98.02943,33.60499
1970-12,99.43744,,,,,,98.62334,97.84492,33.77528
1971-01,99.07252,,,,,,98.51763,97.70462,33.94647
1971-02,98.87788,,,,,,98.4482,97.61248,34.11855
1971-03,98.85316,,,,,,98.41574,97.5694,34.29149
1971-04,99.00011,,,,,,98.41701,97.57108,34.46529
1971-05,99.20457,,,,,,98.44684,97.61066,34.63993
1971-06,99.44659,,,,,,98.49958,97.68066,34.81535
1971-07,99.81038,,,,,,98.57008,97.77424,34.99153
1971-08,100.2422,,,,,,98.65405,97.88568,35.16841
1971-09,100.5439,,,,,,98.74812,98.01054,35.34594
1971-10,100.7981,,,,,,98.84972,98.14536,35.52407
1971-11,100.9954,,,,,,98.95743,98.28832,35.70271
1971-12,101.1372,,,,,,99.07133,98.43948,35.88181
1972-01,101.4671,,,,,,99.19307,98.60106,36.06127
1972-02,101.9004,,,,,,99.32472,98.77579,36.24102
