country,LUX,LUX
subject,LORSGPOR_GYSA,LORSGPOR_IXOBSA
measure,,
unit,Percentage,Index
powercode,Units,Units
reference_period,,2010=100
time,,
1960-Q1,,13.67551
1960-Q2,,13.82359
1960-Q3,,13.97248
1960-Q4,,14.12218
1961-Q1,4.349745,14.27036
1961-Q2,4.297266,14.41762
1961-Q3,3.815935,14.50566
1961-Q4,2.884953,14.5296
1962-Q1,1.979863,14.55289
1962-Q2,1.101466,14.57643
1962-Q3,0.9131096,14.63811
1962-Q4,1.450369,14.74033
1963-Q1,1.993412,14.84299
1963-Q2,2.518654,14.94356
1963-Q3,3.689243,15.17815
1963-Q4,5.527125,15.55505
1964-Q1,7.31647,15.92898
1964-Q2,9.089268,16.30182
1964-Q3,8.76376,16.50832
1964-Q4,6.338888,16.54107
1965-Q1,4.041453,16.57274
1965-Q2,1.859362,16.60493
1965-Q3,0.8624123,16.65069
1965-Q4,1.025726,16.71073
1966-Q1,1.189923,16.76994
1966-Q2,1.349465,16.82901
1966-Q3,1.190681,16.84895
1966-Q4,0.6945445,16.8268
1967-Q1,0.2096832,16.80511
1967-Q2,-0.2715763,16.7833
1967-Q3,-0.03678909,16.84275
1967-Q4,0.9639305,16.989
1968-Q1,1.968541,17.13592
1968-Q2,2.963032,17.2806
1968-Q3,4.676294,17.63037
1968-Q4,7.094243,18.19424
1969-Q1,9.437634,18.75315
1969-Q2,11.73135,19.30785
1969-Q3,11.13934,19.59427
1969-Q4,7.677501,19.5911
1970-Q1,5.064038,19.70281
1970-Q2,1.533095,19.60385
1970-Q3,-0.008191354,19.59267
1970-Q4,0.3656003,19.66272
1971-Q1,0.5244775,19.80615
1971-Q2,2.064751,20.00863
1971-Q3,3.445931,20.26782
1971-Q4,4.639125,20.5749
1972-Q1,5.610938,20.91746
1972-Q2,6.389703,21.28712
1972-Q3,6.965634,21.6796
1972-Q4,7.389354,22.09525
1973-Q1,7.745146,22.53755
1973-Q2,8.104062,23.01224
1973-Q3,8.550822,23.53338
1973-Q4,8.817275,24.04346
1974-Q1,8.32258,24.41325
1974-Q2,6.646765,24.54181
1974-Q3,3.328337,24.31666
1974-Q4,-1.104735,23.77784
1975-Q1,-5.222749,23.13821
1975-Q2,-7.857972,22.61332
1975-Q3,-7.897842,22.39616
1975-Q4,-5.271564,22.52437
1976-Q1,-1.242034,22.85083
1976-Q2,2.598133,23.20084
1976-Q3,4.60217,23.42687
1976-Q4,4.293492,23.49146
1977-Q1,2.751793,23.47964
1977-Q2,1.238974,23.48829
1977-Q3,0.7695611,23.60716
1977-Q4,1.544721,23.85433
1978-Q1,2.927871,24.16709
1978-Q2,4.212193,24.47767
1978-Q3,4.757327,24.73023
1978-Q4,4.393652,24.90241
1979-Q1,3.5084,25.01497
1979-Q2,2.547964,25.10135
1979-Q3,1.850604,25.18789
1979-Q4,1.509831,25.27839
1980-Q1,1.348101,25.35219
1980-Q2,1.152266,25.39058
1980-Q3,0.7410068,25.37453
1980-Q4,0.1292663,25.31107
1981-Q1,-0.4592101,25.23577
1981-Q2,-0.8116555,25.1845
1981-Q3,-0.7252917,25.19049
1981-Q4,-0.2065378,25.25879
1982-Q1,0.4984572,25.36156
1982-Q2,1.122658,25.46724
1982-Q3,1.435325,25.55206
