country,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,100.9904,101.0806,18.28654
1960-03,,,,,,,101.0528,101.1547,18.37795
1960-04,,,,,,,101.1148,101.2284,18.46982
1960-05,,,,,,,101.1736,101.2983,18.56215
1960-06,,,,,,,101.2224,101.3563,18.65496
1960-07,,,,,,,101.248,101.3867,18.74824
1960-08,,,,,,,101.2344,101.3705,18.84202
1960-09,,,,,,,101.168,101.2916,18.9363
1960-10,,,,,,,101.0448,101.1452,19.0311
1960-11,,,,,,,100.8651,100.9316,19.12643
1960-12,,,,,,,100.6312,100.6537,19.22232
1961-01,,,,,,,100.3504,100.32,19.31879
1961-02,,,,,,,100.0354,99.94558,19.41585
1961-03,,,,,,,99.7086,99.55723,19.51354
1961-04,,,,,,,99.40889,99.20105,19.61189
1961-05,,,,,,,99.1757,98.92392,19.7109
1961-06,,,,,,,99.03197,98.75311,19.81061
1961-07,,,,,,,98.96253,98.67059,19.91104
1961-08,,,,,,,98.93872,98.64229,20.01221
1961-09,,,,,,,98.937,98.64024,20.11413
1961-10,,,,,,,98.95389,98.66032,20.21682
1961-11,,,,,,,98.99387,98.70784,20.3203
1961-12,,,,,,,99.05576,98.78139,20.42458
1962-01,,,,,,,99.11729,98.85451,20.52967
1962-02,,,,,,,99.15129,98.89491,20.63558
1962-03,,,,,,,99.14152,98.8833,20.74232
1962-04,,,,,,,99.09992,98.83387,20.84988
1962-05,,,,,,,99.04928,98.77368,20.95829
1962-06,,,,,,,99.00791,98.72452,21.06754
1962-07,,,,,,,98.9751,98.68552,21.17762
1962-08,,,,,,,98.94175,98.64589,21.28855
1962-09,,,,,,,98.90011,98.5964,21.40031
1962-10,,,,,,,98.85316,98.54061,21.5129
1962-11,,,,,,,98.8118,98.49146,21.62631
1962-12,,,,,,,98.79218,98.46813,21.74053
1963-01,,,,,,,98.81255,98.49235,21.85555
1963-02,,,,,,,98.88961,98.58392,21.97134
1963-03,,,,,,,99.03172,98.75281,22.0879
1963-04,,,,,,,99.22787,98.98593,22.20519
1963-05,,,,,,,99.45812,99.25956,22.32319
1963-06,,,,,,,99.6996,99.54654,22.44187
1963-07,,,,,,,99.92987,99.8202,22.5612
1963-08,,,,,,,100.1304,100.0585,22.68116
1963-09,,,,,,,100.2903,100.2485,22.80169
1963-10,,,,,,,100.4124,100.3937,22.92278
1963-11,,,,,,,100.505,100.5037,23.0444
1963-12,,,,,,,100.5762,100.5883,23.16649
1964-01,,,,,,,100.6304,100.6528,23.28904
1964-02,,,,,,,100.6689,100.6985,23.41201
1964-03,,,,,,,100.6912,100.725,23.53537
1964-04,,,,,,,100.6982,100.7333,23.65909
1964-05,,,,,,,100.6945,100.729,23.78313
1964-06,,,,,,,100.6931,100.7272,23.90746
1964-07,,,,,,,100.7193,100.7584,24.03206
1964-08,,,,,,,100.7987,100.8528,24.1569
1964-09,,,,,,,100.9425,101.0236,24.28194
1964-10,,,,,,,101.1291,101.2453,24.40716
1964-11,,,,,,,101.321,101.4735,24.53254
1964-12,,,,,,,101.4791,101.6613,24.65804
1965-01,,,,,,,101.575,101.7753,24.78365
1965-02,,,,,,,101.5887,101.7916,24.90935
1965-03,,,,,,,101.5091,101.697,25.03511
1965-04,,,,,,,101.3411,101.4974,25.16092
1965-05,,,,,,,101.1001,101.2109,25.28678
1965-06,,,,,,,100.8125,100.8691,25.41268
1965-07,,,,,,,100.5219,100.5238,25.53861
1965-08,,,,,,,100.2727,100.2276,25.66457
1965-09,,,,,,,100.0946,100.016,25.79056
1965-10,,,,,,,99.9848,99.88548,25.91658
1965-11,,,,,,,99.92481,99.81418,26.04262
1965-12,,,,,,,99.89214,99.77534,26.16868
1966-01,,,,,,,99.86819,99.74689,26.29477
1966-02,,,,,,,99.83965,99.71298,26.42086
1966-03,,,,,,,99.79919,99.66489,26.54697
1966-04,,,,,,,99.74655,99.60234,26.67309
1966-05,,,,,,,99.68465,99.52876,26.7992
1966-06,,,,,,,99.61642,99.44769,26.92532
1966-07,,,,,,,99.54263,99.35999,27.05142
1966-08,,,,,,,99.46791,99.27119,27.17751
1966-09,,,,,,,99.4073,99.19915,27.30356
1966-10,,,,,,,99.39271,99.18182,27.42959
1966-11,,,,,,,99.45627,99.25735,27.55556
1966-12,,,,,,,99.61049,99.44064,27.68148
1967-01,,,,,,,99.82268,99.6928,27.80731
1967-02,,,,,,,100.0484,99.96106,27.93305
1967-03,,,,,,,100.2605,100.2131,28.05867
1967-04,,,,,,,100.4767,100.4701,28.18416
1967-05,,,,,,,100.7214,100.7609,28.30949
1967-06,,,,,,,100.9855,101.0747,28.43465
1967-07,,,,,,,101.2078,101.3389,28.55962
1967-08,,,,,,,101.3072,101.457,28.68439
1967-09,,,,,,,101.2401,101.3773,28.80894
1967-10,,,,,,,101.0411,101.1408,28.93326
1967-11,,,,,,,100.7884,100.8405,29.05735
1967-12,,,,,,,100.5538,100.5617,29.18121
1968-01,,,,,,,100.3571,100.3279,29.30484
1968-02,,,,,,,100.1913,100.1309,29.42825
1968-03,,,,,,,100.0438,99.95556,29.55142
1968-04,,,,,,,99.91565,99.8033,29.67436
1968-05,,,,,,,99.81586,99.68469,29.79708
1968-06,,,,,,,99.75416,99.61137,29.91958
1968-07,,,,,,,99.73242,99.58554,30.04186
1968-08,,,,,,,99.74596,99.60163,30.16391
1968-09,,,,,,,99.78211,99.64459,30.28573
1968-10,,,,,,,99.81623,99.68514,30.40733
1968-11,,,,,,,99.82265,99.69278,30.5287
1968-12,,,,,,,99.78575,99.64892,30.64984
1969-01,,,,,,,99.71285,99.56229,30.77074
1969-02,,,,,,,99.62743,99.46077,30.89139
1969-03,,,,,,,99.5649,99.38645,31.0118
1969-04,,,,,,,99.5695,99.39193,31.13196
1969-05,,,,,,,99.67399,99.5161,31.25187
1969-06,,,,,,,99.87454,99.75444,31.3715
1969-07,,,,,,,100.098,100.0201,31.49086
1969-08,,,,,,,100.2549,100.2065,31.60991
1969-09,,,,,,,100.2901,100.2483,31.72866
1969-10,,,,,,,100.2387,100.1872,31.84709
1969-11,,,,,,,100.1733,100.1095,31.96519
1969-12,,,,,,,100.1575,100.0907,32.08295
1970-01,,,,,,,100.2003,100.1416,32.20037
1970-02,,,,,,,100.2793,100.2354,32.31743
1970-03,,,,,,,100.3572,100.328,32.43413
1970-04,,,,,,,100.3977,100.3761,32.55045
1970-05,,,,,,,100.3786,100.3534,32.66638
1970-06,,,,,,,100.3084,100.2701,32.78191
1970-07,,,,,,,100.2467,100.1968,32.89705
1970-08,,,,,,,100.264,100.2173,33.01179
1970-09,,,,,,,100.4019,100.3812,33.12612
1970-10,,,,,,,100.6275,100.6493,33.24004
1970-11,,,,,,,100.8725,100.9404,33.35355
1970-12,,,,,,,101.0656,101.17,33.46663
1971-01,,,,,,,101.1639,101.2868,33.57928
1971-02,,,,,,,101.1488,101.2688,33.69152
1971-03,,,,,,,101.0291,101.1265,33.80334
1971-04,,,,,,,100.8507,100.9146,33.91476
1971-05,,,,,,,100.6687,100.6983,34.0258
1971-06,,,,,,,100.5226,100.5246,34.13646
1971-07,,,,,,,100.4134,100.3949,34.24678
1971-08,,,,,,,100.321,100.285,34.35676
1971-09,,,,,,,100.2184,100.1631,34.46643
1971-10,,,,,,,100.0854,100.0051,34.57581
1971-11,,,,,,,99.9108,99.79752,34.68492
1971-12,,,,,,,99.69716,99.54363,34.79378
1972-01,,,,,,,99.46872,99.27216,34.90242
1972-02,,,,,,,99.25565,99.01894,35.01087
1972-03,,,,,,,99.07993,98.8101,35.11914
1972-04,,,,,,,98.94045,98.64435,35.22725
1972-05,,,,,,,98.82823,98.51098,35.33521
1972-06,,,,,,,98.73869,98.40457,35.44305
1972-07,,,,,,,98.68209,98.3373,35.55075
1972-08,,,,,,,98.67297,98.32646,35.65835
1972-09,,,,,,,98.71749,98.37937,35.76582
1972-10,,,,,,,98.79739,98.47433,35.87317
1972-11,,,,,,,98.88373,98.57693,35.98038
1972-12,,,,,,,98.94809,98.65342,36.08745
1973-01,,,,,,,98.97325,98.68333,36.19434
1973-02,,,,,,,98.95656,98.66349,36.30104
1973-03,,,,,,,98.91595,98.61523,36.40753
1973-04,,,,,,,98.89887,98.59492,36.51377
1973-05,,,,,,,98.95894,98.66631,36.61974
