country,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1992-09,93.81438,,104.927,102.5982,,,,,
1992-10,95.88612,,104.6762,102.4661,,,,,
1992-11,97.37681,,104.3953,102.3183,,,,,
1992-12,98.48647,,104.1123,102.1693,,,,,
1993-01,99.35133,,103.8487,102.0305,,,,,
1993-02,99.47861,,103.6052,101.9024,,,,,
1993-03,99.21823,,103.3573,101.7719,,,,,
1993-04,98.83475,,103.0784,101.6251,,,,,
1993-05,98.23338,,102.4677,101.3036,,,,,
1993-06,97.77005,,101.8205,100.9629,,,,,
1993-07,97.6125,,101.1478,100.6088,,,,,
1993-08,97.16592,,100.4675,100.2507,,,,,
1993-09,96.08447,,99.79156,99.89489,,,,,
1993-10,94.41579,,99.13557,99.54958,,,,,
1993-11,92.97706,,98.51617,99.22353,,,,,
1993-12,91.99066,,97.96891,98.93546,,,,,
1994-01,91.29393,,97.53156,98.70524,,,,,
1994-02,90.92109,,97.21958,98.54102,,,,,
1994-03,90.86423,,97.0423,98.44769,,,,,
1994-04,90.98717,,96.99726,98.42399,,,,,
1994-05,91.4692,,97.05734,98.45561,,,,,
1994-06,92.24057,,97.18501,98.52281,,,,,
1994-07,93.30609,,97.34561,98.60735,,,,,
1994-08,94.91629,,97.51569,98.69688,,,,,
1994-09,96.46597,,97.69328,98.79036,,,,,
1994-10,97.26585,,97.8829,98.89017,,,,,
1994-11,97.38834,,98.08076,98.99433,,,,,
1994-12,97.29712,,98.27753,99.09791,,,,,
1995-01,97.07467,,98.46785,99.19809,,,,,
1995-02,96.74036,,98.63621,99.28671,,49.93645,101.9986,103.5351,50.6269
1995-03,96.5172,,98.76661,99.35536,,49.99137,102.1305,103.7698,50.61565
1995-04,96.32357,,98.84628,99.39729,,50.02059,102.2527,103.9873,50.60442
1995-05,96.23483,,98.86166,99.40539,,50.01731,102.3482,104.1572,50.59324
1995-06,96.4232,,98.81932,99.3831,,49.98492,102.396,104.2422,50.58213
1995-07,96.85694,,98.74332,99.34309,,49.93563,102.377,104.2084,50.57116
1995-08,97.05478,,98.65884,99.29862,,49.88229,102.2776,104.0315,50.56039
1995-09,96.5298,,98.57731,99.25571,,49.83076,102.098,103.712,50.54993
1995-10,95.69416,,98.46074,99.19435,,49.76192,101.8574,103.284,50.53986
1995-11,94.94138,,98.3801,99.1519,,49.71178,101.5862,102.8014,50.53033
1995-12,94.58281,,98.3472,99.13458,,49.68642,101.3132,102.3157,50.52144
1996-01,94.47086,,98.36175,99.14224,,49.68582,101.0562,101.8585,50.51336
1996-02,94.65636,,98.4412,99.18407,-0.4356114,49.71893,100.824,101.4454,50.50621
1996-03,94.90082,,98.60793,99.27183,-0.3884382,49.79718,100.6176,101.0782,50.50018
1996-04,95.18364,,98.85847,99.40372,-0.2031208,49.91899,100.4294,100.7433,50.49541
1996-05,95.52782,,99.16267,99.56384,0.1038985,50.06928,100.2515,100.4268,50.49206
1996-06,95.81736,,99.4922,99.7373,0.498156,50.23392,100.0828,100.1268,50.49031
1996-07,96.08828,,99.83339,99.9169,0.9423515,50.4062,99.93531,99.8643,50.49033
1996-08,96.17313,,100.1742,100.0963,1.399202,50.58025,99.82536,99.6687,50.49228
1996-09,96.09022,,100.4949,100.2651,1.837202,50.74625,99.76459,99.56058,50.49635
1996-10,96.09924,,100.7937,100.4224,2.294108,50.90351,99.75678,99.54668,50.5027
1996-11,96.48864,,101.0707,100.5682,2.69662,51.05232,99.79536,99.61532,50.51149
1996-12,97.07141,,101.3389,100.7094,3.044966,51.19936,99.86626,99.74147,50.5229
1997-01,97.57417,,101.5959,100.8447,3.336528,51.3436,99.94727,99.8856,50.53709
1997-02,98.09495,,101.8167,100.9609,3.527196,51.47261,100.0199,100.0148,50.55421
1997-03,98.44675,,102.0036,101.0593,3.59568,51.58773,100.0803,100.1222,50.57444
1997-04,98.75082,,102.1875,101.1561,3.577389,51.70478,100.1508,100.2478,50.59795
1997-05,98.88823,,102.3721,101.2533,3.508081,51.82575,100.2602,100.4424,50.62489
1997-06,98.97649,,102.5086,101.3251,3.368777,51.92619,100.4223,100.7308,50.65546
1997-07,99.17279,,102.519,101.3306,3.095798,51.96668,100.612,101.0683,50.68982
1997-08,99.47503,,102.3206,101.2261,2.619714,51.90531,100.7825,101.3717,50.72813
1997-09,99.62605,,101.8988,101.0041,1.947649,51.73461,100.8807,101.5463,50.77058
1997-10,99.46095,,101.2847,100.6809,1.113248,51.4702,100.8638,101.5162,50.81735
1997-11,99.13359,,100.5614,100.3001,0.1996225,51.15423,100.7031,101.2303,50.86863
1997-12,98.89912,,99.82474,99.91235,-0.7108846,50.83539,100.3956,100.6833,50.92464
1998-01,98.70898,,99.1283,99.54575,-1.562916,50.54114,99.96631,99.91946,50.98558
1998-02,98.5292,,98.48593,99.20761,-2.319473,50.27871,99.45471,99.00926,51.05167
1998-03,98.21947,,97.88409,98.8908,-2.997438,50.04142,98.89217,98.00842,51.12314
1998-04,97.86079,,97.32525,98.59663,-3.624552,49.83072,98.28541,96.92892,51.2002
1998-05,97.62131,,96.83675,98.33949,-4.177271,49.66085,97.63762,95.77642,51.28306
1998-06,97.1092,,96.46836,98.14557,-4.561342,49.55766,96.97127,94.5909,51.37193
1998-07,96.65234,,96.24123,98.02601,-4.684163,49.53247,96.35217,93.48945,51.467
1998-08,96.47253,,96.14938,97.97766,-4.474579,49.58276,95.85869,92.61147,51.56847
1998-09,96.47338,,96.18651,97.99721,-3.921576,49.7058,95.54947,92.06133,51.67648
1998-10,97.30148,,96.33932,98.07764,-3.059934,49.89524,95.44872,91.88209,51.79115
1998-11,98.47161,89.66551,96.59496,98.21221,-1.973028,50.14494,95.54916,92.06079,51.91259
1998-12,99.25078,90.20705,96.94861,98.39838,-0.7524418,50.45288,95.82341,92.54871,52.04085
1999-01,99.71645,90.72594,97.41087,98.64171,0.56176,50.82506,96.21903,93.25256,52.17596
1999-02,100.1547,91.17376,97.97634,98.93937,1.950093,51.2592,96.67853,94.07007,52.31793
1999-03,100.6824,91.49585,98.62129,99.27886,3.40107,51.74336,97.15044,94.90967,52.46672
1999-04,101.1785,91.72192,99.29339,99.63265,4.855937,52.25047,97.59607,95.70249,52.6223
1999-05,101.7199,91.87469,99.93734,99.97162,6.223567,52.75152,97.99014,96.40361,52.7846
1999-06,102.0727,91.97459,100.5211,100.2789,7.409238,53.2295,98.32292,96.99567,52.95354
1999-07,102.2269,92.11774,101.0296,100.5466,8.36539,53.67606,98.60512,97.49773,53.12903
1999-08,102.2779,92.45296,101.4793,100.7833,9.109682,54.09959,98.85747,97.94669,53.31097
1999-09,102.2882,93.11555,101.9061,101.008,9.683377,54.519,99.10301,98.38354,53.49926
1999-10,102.3198,93.96896,102.3441,101.2385,10.13555,54.9524,99.36085,98.84226,53.69377
1999-11,102.4886,94.86519,102.805,101.4812,10.49195,55.40612,99.64301,99.34426,53.89437
1999-12,102.5499,95.71447,103.271,101.7264,10.73814,55.87058,99.94981,99.89011,54.10095
2000-01,102.361,96.51195,103.6963,101.9503,10.81332,56.32094,100.2628,100.4469,54.31334
2000-02,102.0324,96.56686,104.0291,102.1255,10.66995,56.72853,100.5561,100.9688,54.53142
2000-03,101.8393,97.35103,104.228,102.2302,10.29455,57.07011,100.8074,101.4159,54.75504
2000-04,101.7123,98.06596,104.2612,102.2477,9.715832,57.32703,101.0091,101.7747,54.98407
2000-05,101.9559,98.57506,104.1709,102.2001,9.042253,57.52145,101.1603,102.0437,55.21836
2000-06,102.3044,98.74545,104.0018,102.1111,8.355596,57.67714,101.2611,102.223,55.45781
2000-07,102.549,98.72498,103.7779,101.9932,7.695389,57.80664,101.3102,102.3104,55.70229
2000-08,102.7641,98.67352,103.4885,101.8409,7.031427,57.90357,101.3059,102.3027,55.95168
2000-09,102.9072,98.6852,103.1058,101.6395,6.29599,57.95151,101.2501,102.2035,56.20588
2000-10,102.9176,98.74162,102.6416,101.3951,5.466494,57.95637,101.156,102.0361,56.4648
2000-11,102.7633,98.79841,102.1344,101.1281,4.571724,57.93914,101.042,101.8332,56.72835
2000-12,102.3442,98.82708,101.6416,100.8687,3.689775,57.93208,100.9283,101.6309,56.99646
2001-01,101.7693,98.85647,101.2146,100.6439,2.918381,57.9646,100.8347,101.4644,57.26903
