country,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
1960-02,,,,,,,98.28164,96.99926,23.69312
1960-03,,,,,,,98.5865,97.51389,23.83463
1960-04,,,,,,,98.89275,98.03088,23.97698
1960-05,,,,,,,99.20005,98.54963,24.12016
1960-06,,,,,,,99.50782,99.06918,24.26417
1960-07,,,,,,,99.81522,99.5881,24.40899
1960-08,,,,,,,100.1209,100.1041,24.55462
1960-09,,,,,,,100.4227,100.6136,24.70102
1960-10,,,,,,,100.7175,101.1113,24.84819
1960-11,,,,,,,101.0009,101.5897,24.99611
1960-12,,,,,,,101.2668,102.0386,25.14477
1961-01,,,,,,,101.5075,102.4448,25.29415
1961-02,,,,,,,101.7132,102.7921,25.44425
1961-03,,,,,,,101.873,103.0618,25.59506
1961-04,,,,,,,101.9748,103.2336,25.74658
1961-05,,,,,,,102.0071,103.2883,25.89882
1961-06,,,,,,,101.9613,103.2109,26.05179
1961-07,,,,,,,101.8341,102.9962,26.2055
1961-08,,,,,,,101.6273,102.647,26.36
1961-09,,,,,,,101.3476,102.1749,26.5153
1961-10,,,,,,,101.0083,101.6022,26.67147
1961-11,,,,,,,100.6264,100.9574,26.82854
1961-12,,,,,,,100.2202,100.2717,26.98658
1962-01,,,,,,,99.80878,99.57723,27.14563
1962-02,,,,,,,99.41096,98.90566,27.30576
1962-03,,,,,,,99.04475,98.28748,27.46703
1962-04,,,,,,,98.72688,97.75087,27.62949
1962-05,,,,,,,98.47177,97.32022,27.79321
1962-06,,,,,,,98.29003,97.01342,27.95822
1962-07,,,,,,,98.18597,96.83776,28.12459
1962-08,,,,,,,98.15911,96.79241,28.29234
1962-09,,,,,,,98.20425,96.86861,28.46151
1962-10,,,,,,,98.31049,97.04795,28.63212
1962-11,,,,,,,98.46413,97.30732,28.80418
1962-12,,,,,,,98.65076,97.62238,28.97771
1963-01,,,,,,,98.85645,97.9696,29.1527
1963-02,,,,,,,99.06845,98.32748,29.32916
1963-03,,,,,,,99.27557,98.67711,29.50707
1963-04,,,,,,,99.46839,99.00262,29.68644
1963-05,,,,,,,99.63944,99.29137,29.86724
1963-06,,,,,,,99.78345,99.53447,30.04945
1963-07,,,,,,,99.89787,99.72762,30.23308
1963-08,,,,,,,99.98237,99.87027,30.41809
1963-09,,,,,,,100.0386,99.96527,30.60446
1963-10,,,,,,,100.0706,100.0192,30.79219
1963-11,,,,,,,100.0834,100.0408,30.98124
1963-12,,,,,,,100.0828,100.0398,31.17161
1964-01,,,,,,,100.0748,100.0264,31.36327
1964-02,,,,,,,100.0656,100.0107,31.5562
1964-03,,,,,,,100.0607,100.0025,31.75038
1964-04,,,,,,,100.0656,100.0107,31.94578
1964-05,,,,,,,100.0847,100.0431,32.14239
1964-06,,,,,,,100.1215,100.1052,32.34018
1964-07,,,,,,,100.1774,100.1996,32.53913
1964-08,,,,,,,100.2523,100.326,32.73921
1964-09,,,,,,,100.3446,100.4817,32.94039
1964-10,,,,,,,100.4508,100.661,33.14265
1964-11,,,,,,,100.5664,100.8562,33.34596
1964-12,,,,,,,100.6864,101.0588,33.55029
1965-01,,,,,,,100.8057,101.2602,33.75562
1965-02,,,,,,,100.9192,101.4517,33.96192
1965-03,,,,,,,101.0217,101.6248,34.16918
1965-04,,,,,,,101.1088,101.7718,34.37738
1965-05,,,,,,,101.1763,101.8857,34.58651
1965-06,,,,,,,101.2212,101.9616,34.79655
1965-07,,,,,,,101.2423,101.9971,35.0075
1965-08,,,,,,,101.2394,101.9924,35.21937
1965-09,,,,,,,101.214,101.9494,35.43217
1965-10,,,,,,,101.1688,101.873,35.6459
1965-11,,,,,,,101.1072,101.7691,35.86058
1965-12,,,,,,,101.033,101.6438,36.07626
1966-01,,,,,,,100.9494,101.5027,36.29293
1966-02,,,,,,,100.8593,101.3507,36.51066
1966-03,,,,,,,100.7653,101.1919,36.72947
1966-04,,,,,,,100.6689,101.0292,36.94941
1966-05,,,,,,,100.5715,100.8648,37.17053
1966-06,,,,,,,100.4739,100.7001,37.39288
1966-07,,,,,,,100.3766,100.5358,37.61652
1966-08,,,,,,,100.2796,100.372,37.8415
1966-09,,,,,,,100.1828,100.2086,38.06788
1966-10,,,,,,,100.0862,100.0455,38.29574
1966-11,,,,,,,99.98951,99.88232,38.52513
1966-12,,,,,,,99.89274,99.71896,38.75612
1967-01,,,,,,,99.79597,99.55561,38.98878
1967-02,,,,,,,99.69948,99.39272,39.22318
1967-03,,,,,,,99.60369,99.23102,39.45939
1967-04,,,,,,,99.50919,99.07148,39.69747
1967-05,,,,,,,99.41656,98.91513,39.9375
1967-06,,,,,,,99.32636,98.76286,40.17955
1967-07,,,,,,,99.23883,98.6151,40.42366
1967-08,,,,,,,99.15412,98.4721,40.66992
1967-09,,,,,,,99.07236,98.33407,40.91838
1967-10,,,,,,,98.99367,98.20123,41.16908
1967-11,,,,,,,98.91851,98.07436,41.42209
1967-12,,,,,,,98.84793,97.95521,41.67746
1968-01,,,,,,,98.78371,97.84681,41.93521
1968-02,,,,,,,98.72844,97.7535,42.19539
1968-03,,,,,,,98.68539,97.68084,42.45803
1968-04,,,,,,,98.65829,97.63509,42.72316
1968-05,,,,,,,98.65083,97.62247,42.99078
1968-06,,,,,,,98.66589,97.64791,43.26091
1968-07,,,,,,,98.70455,97.71317,43.53354
1968-08,,,,,,,98.76637,97.81753,43.80868
1968-09,,,,,,,98.84935,97.95761,44.08629
1968-10,,,,,,,98.9495,98.12669,44.36635
1968-11,,,,,,,99.06184,98.31632,44.64883
1968-12,,,,,,,99.18107,98.51759,44.93367
1969-01,,,,,,,99.30204,98.7218,45.22084
1969-02,,,,,,,99.41998,98.92091,45.51028
1969-03,,,,,,,99.53066,99.10774,45.80192
1969-04,,,,,,,99.6305,99.27628,46.09569
1969-05,,,,,,,99.71666,99.42172,46.39152
1969-06,,,,,,,99.78729,99.54095,46.68933
1969-07,,,,,,,99.84181,99.633,46.98904
1969-08,,,,,,,99.88083,99.69885,47.29057
1969-09,,,,,,,99.9061,99.74152,47.59382
1969-10,,,,,,,99.92083,99.76639,47.89872
1969-11,,,,,,,99.92929,99.78067,48.20515
1969-12,,,,,,,99.93659,99.79299,48.51302
1970-01,,,,,,,99.94855,99.81317,48.82225
1970-02,,,,,,,99.96891,99.84756,49.13271
1970-03,,,,,,,99.99658,99.89426,49.44429
1970-04,,,,,,,100.0226,99.93823,49.7569
1970-05,,,,,,,100.035,99.95905,50.07039
1970-06,,,,,,,100.0229,99.93877,50.38465
1970-07,,,,,,,99.98212,99.86985,50.69955
1970-08,,,,,,,99.91441,99.75555,51.01497
1970-09,,,,,,,99.8287,99.61086,51.33077
1970-10,,,,,,,99.74174,99.46406,51.64685
1970-11,,,,,,,99.67244,99.34708,51.96305
1970-12,,,,,,,99.63628,99.28603,52.27926
1971-01,,,,,,,99.6395,99.29146,52.59533
1971-02,,,,,,,99.68199,99.3632,52.91109
1971-03,,,,,,,99.75945,99.49397,53.2264
1971-04,,,,,,,99.86488,99.67194,53.54108
1971-05,,,,,,,99.98896,99.88139,53.85495
1971-06,,,,,,,100.1199,100.1024,54.16783
1971-07,,,,,,,100.243,100.3103,54.47954
1971-08,,,,,,,100.3474,100.4865,54.78988
1971-09,,,,,,,100.4319,100.6292,55.09868
1971-10,,,,,,,100.5123,100.7649,55.40575
1971-11,,,,,,,100.6096,100.9291,55.71092
1971-12,,,,,,,100.7387,101.1471,56.01401
1972-01,,,,,,,100.8975,101.415,56.31483
1972-02,,,,,,,101.0736,101.7125,56.61319
1972-03,,,,,,,101.2529,102.015,56.90891
1972-04,,,,,,,101.4252,102.306,57.20181
1972-05,,,,,,,101.587,102.5791,57.49171
1972-06,,,,,,,101.7425,102.8416,57.77847
1972-07,,,,,,,101.9055,103.1168,58.06194
1972-08,,,,,,,102.0914,103.4305,58.34198
1972-09,,,,,,,102.3081,103.7963,58.61848
1972-10,,,,,,,102.5473,104.2001,58.89131
1972-11,,,,,,,102.7933,104.6154,59.16037
1972-12,,,,,,,103.0317,105.0179,59.42559
1973-01,,,,,,,103.2574,105.3989,59.6869
1973-02,,,,,,,103.4687,105.7556,59.94426
1973-03,,,,,,,103.661,106.0802,60.19766
1973-04,,,,,,,103.8207,106.3498,60.44712
1973-05,,,,,,,103.9291,106.5327,60.69267
